name_cn,code,meridian,article_count
足三里,ST36,足阳明胃经,109
百会,GV20,督脉,26
四白,ST2,足阳明胃经,26
三阴交,SP6,足太阴脾经,19
关元,CV4,任脉,18
内关,PC6,手厥阴心包经,18
攒竹,BL2,足太阳膀胱经,13
上关,GB3,足少阳胆经,12
长强,GV1,督脉,11
天枢,ST25,足阳明胃经,11
太冲,LR3,足厥阴肝经,11
阳陵泉,GB34,足少阳胆经,11
肾俞,BL23,足太阳膀胱经,11
大杼,BL11,足太阳膀胱经,8
大椎,GV14,督脉,8
地仓,ST4,足阳明胃经,8
水沟,GV26,督脉,7
承光,BL6,足太阳膀胱经,6
丰隆,ST40,足阳明胃经,6
合谷,LI4,手阳明大肠经,5
风池,GB20,足少阳胆经,4
气海,CV6,任脉,4
商阳,LI1,手阳明大肠经,4
曲池,LI11,手阳明大肠经,4
睛明,BL1,足太阳膀胱经,4
昆仑,BL60,足太阳膀胱经,3
听会,GB2,足少阳胆经,3
脾俞,BL20,足太阳膀胱经,3
五处,BL5,足太阳膀胱经,3
秩边,BL54,足太阳膀胱经,3
肝俞,BL18,足太阳膀胱经,3
曲差,BL4,足太阳膀胱经,2
印堂,EX-HN3,经外奇穴,2
眉冲,BL3,足太阳膀胱经,1
次髎,BL32,足太阳膀胱经,1
大肠俞,BL25,足太阳膀胱经,1
肩髃,LI15,手阳明大肠经,1
耳门,TE21,手少阳三焦经,1
胃俞,BL21,足太阳膀胱经,1
命门,GV4,督脉,1
肺俞,BL13,足太阳膀胱经,1
