name,category,article_count
inflammation,pathological_process_or_symptom,157
pain,pathological_process_or_symptom,69
stress,pathological_process_or_symptom,59
tumor,disease,38
stroke,disease,31
arthritis,disease,30
withdrawal,pathological_process_or_symptom,25
depression,pathological_process_or_symptom,20
cancer,disease,17
anxiety,pathological_process_or_symptom,13
osteoarthritis,disease,13
rheumatoid arthritis,disease,12
irritable bowel syndrome,disease,12
alzheimer,disease,11
cognitive impairment,pathological_process_or_symptom,11
diabetes,disease,9
inflammatory pain,pathological_process_or_symptom,8
neuropathic pain,pathological_process_or_symptom,8
fatigue,pathological_process_or_symptom,8
parkinson,disease,7
obesity,disease,7
migraine,disease,7
infertility,disease,6
pulmonary,disease,6
autoimmune,disease,5
colitis,disease,5
urinary,pathological_process_or_symptom,5
insomnia,pathological_process_or_symptom,5
chronic pain,pathological_process_or_symptom,5
asthma,disease,4
addiction,disease,4
carcinoma,disease,4
dyspepsia,pathological_process_or_symptom,4
diarrhea,pathological_process_or_symptom,4
dementia,disease,3
pcos,disease,3
constipation,pathological_process_or_symptom,3
headache,pathological_process_or_symptom,3
dysmenorrhea,disease,3
cardiovascular,pathological_process_or_symptom,3
hypertension,disease,2
sarcoma,disease,2
respiratory,disease,2
hepatitis,disease,2
heart failure,disease,1
liver fibrosis,disease,1
cirrhosis,disease,1
nafld,disease,1
myocardial infarction,disease,1
fibromyalgia,disease,1
