gene_symbol,article_count
TNF,55
IL6,38
AKT,30
PI3K,27
MAPK,17
MTOR,14
NLRP3,14
FOS,11
IL10,11
STAT3,10
LC3,10
WNT,9
BCL2,9
JAK,8
ERK,8
MMP,8
BCL,8
P38,8
BECLIN,7
TLR4,7
METABOLOMIC,7
POSTOPERATIVE,7
ECM,7
NOD,7
WEB,7
STROKE,7
GPX4,7
BBB,7
TRPV1,7
T2DM,7
GFAP,7
SYNDROME,7
CD4,7
NRF2,6
VESSEL,6
STAT,6
PROFILING,6
IVF,6
PINK1,6
PARKIN,6
CREB,6
CD8,6
VEGF,6
SOD,6
TG,6
SPINAL,6
HOMA,6
AMH,6
BAX,6
TRIAL,6
REGISTRATION,6
OSTEOARTHRITIS,6
HIF,6
CON,6
GSH,6
LPS,6
RESPONSE,6
BDNF,6
OFT,5
PROTEOMICS,5
CATGUT,5
HIPPOCAMPAL,5
INHIBITION,5
DRG,5
NEURONAL,5
UC,5
L4,5
SCFAS,5
ICH,5
RHEUMATOID,5
AST,5
ACTIVATION,5
MECHANICAL,5
DISEASE,5
ARTHRITIS,5
TC,5
MWT,5
COA,5
FSH,5
INTERVERTEBRAL,5
CA1,5
L5,5
TOLL,5
GSDMD,5
ULK1,5
JC,5
MMP3,5
INFLAMMATION,5
DEPRESSION,5
IVDD,5
SLC7A11,5
MC,5
VAS,5
SA,5
KNEE,5
INSIGHTS,5
GOVERNOR,4
KEAP1,4
EPM,4
FOOT,4
YANGMING,4
PS1,4
APP,4
RELEVANCE,4
LDH,4
CAG,4
EMBEDDING,4
REVEALS,4
DRGS,4
EVANS,4
FC,4
GASTRIC,4
MPTP,4
INVESTIGATION,4
ACE,4
POR,4
LH,4
MODULATION,4
IS,4
JNK,4
ALT,4
IBA,4
SUPPRESSING,4
DEG,4
TRANSMISSION,4
TRAP,4
REPERFUSION,4
ISCHEMIA,4
DE,4
NE,4
MANUAL,4
HPA,4
DISC,4
ASC,4
TARGETING,4
PKM2,4
SN,4
LDL,4
FINS,4
POST,4
MODULATES,4
OCCLUDIN,4
INTESTINAL,4
GUT,4
ALCIAN,4
CA2,4
SMAD,4
MOLECULAR,4
CD206,4
GSEA,4
MULTIPLE,4
PCPA,4
CLOCK,4
HIF1A,4
PGE2,4
VIP,4
PLEASE,4
INTEGR,4
ACSL4,4
SP,4
INTEGRATING,4
TRANSCRIPTOMICS,4
A2,4
A1,4
CYTOSCAPE,4
STING,3
GMP,3
DGP,3
UNC,3
WNT3A,3
JANUS,3
ZUCKER,3
ZDF,3
LEPRFA,3
GLUT4,3
MLA,3
LY294002,3
MFN2,3
DRP1,3
JAK2,3
LC3B,3
POCD,3
DECOCTION,3
TARGETED,3
FST,3
COUNTING,3
FFA,3
QTOF,3
PROTEOMIC,3
CXCR4,3
IGE,3
BB,3
NEURAL,3
WAT,3
AGAINST,3
GC,3
CNS,3
ARTEMISIA,3
APOPTOSIS,3
NPCS,3
COMBINING,3
FOXP3,3
ZHUANG,3
SIRT1,3
ALTERATIONS,3
STRESS,3
PTEN,3
ATF6,3
NEUN,3
B6,3
B2,3
LACTOBACILLUS,3
ATG5,3
ZEA,3
MUCOSAL,3
TLR,3
CORRELATION,3
PROMOTING,3
CANCER,3
GLUT1,3
SMA,3
FE2,3
MODULATING,3
ATTENUATES,3
WAIGUAN,3
SHAOYANG,3
MYD88,3
MICROGLIAL,3
FINDINGS,3
TH,3
BIOINFORMATIC,3
OUTCOMES,3
SUBSEQUENT,3
PTSD,3
DEGENERATION,3
RAS,3
AKT1,3
TREM2,3
L1,3
IMMUNE,3
EMG,3
YANG,3
H4,3
MICROBIOTA,3
INHIBITING,3
VAGINAL,3
PCOS,3
IDD,3
EXPLORING,3
CORE,3
GW4869,3
SEPSIS,3
PRECLINICAL,3
ACID,3
FIRMICUTES,3
ACCUMULATING,3
MMP9,3
MMP2,3
MILD,3
DEPS,3
TOGETHER,3
NEUROPATHIC,3
OA,3
REACTION,3
POLYMERASE,3
WARM,3
SVM,3
IMAGING,3
ACC,3
HEALTH,3
BECLIN1,3
AG,3
C3,3
VENN,3
CXCL10,3
PWTL,2
IBA1,2
MULTIMODAL,2
MOR,2
VAGUS,2
OIL,2
LEPR,2
EAE,2
RETROGRADE,2
IRF3,2
MRM,2
NALOXONE,2
EFFECTIVE,2
CLAUDIN,2
MLST,2
EOSINOPHIL,2
KELCH,2
SCR,2
DKD,2
BUN,2
NSCS,2
NSC,2
LIKE,2
IGF1R,2
TIAOSHEN,2
GASDERMIN,2
ES,2
TREGS,2
LEQUESNE,2
COL2,2
SHANGXING,2
ERK1,2
AMD3100,2
IRS,2
HK2,2
LEE,2
REACTIVE,2
INCLUSION,2
P2X7,2
BZATP,2
IRS1,2
B3,2
ANG,2
NOTCH,2
GLYCOLYSIS,2
OPA1,2
DECEMBER,2
AG490,2
ARE,2
REGULATE,2
TRKB,2
SPT,2
CCK,2
IPA,2
EIGHTEEN,2
ADDITIONAL,2
LUMBAR,2
NARRATIVE,2
HDMS,2
MARCH,2
MEK,2
MATERIAL,2
GAPDH,2
CONCEPTION,2
PEF,2
ACT,2
HDL,2
SCALP,2
CHOP,2
SHENMEN,2
CORT,2
ACTH,2
SAP,2
GRAPHENE,2
TCA,2
CR,2
SHENQUE,2
SWATH,2
MSALL,2
ADJACENT,2
