gene_symbol,official_note,article_count
TNF,TNF,55
IL6,IL6,38
NLRP3,NLRP3,14
MTOR,MTOR,14
IL10,IL10,11
FOS,FOS,11
MAP1LC3A/B/C,LC3→MAP1LC3A/B/C,10
STAT3,STAT3,10
BECN1,BECLIN→BECN1,10
BCL2,BCL2,9
CD4,CD4,7
GFAP,GFAP,7
TRPV1,TRPV1,7
BBB,BBB,7
GPX4,GPX4,7
TLR4,TLR4,7
BDNF,BDNF,6
LPS,LPS,6
GSH,GSH,6
CON,CON,6
HIF,HIF,6
OSTEOARTHRITIS,OSTEOARTHRITIS,6
REGISTRATION,REGISTRATION,6
BAX,BAX,6
AMH,AMH,6
TG,TG,6
SOD,SOD,6
VEGF,VEGF,6
CD8,CD8,6
CREB,CREB,6
PARKIN,PARKIN,6
PINK1,PINK1,6
VESSEL,VESSEL,6
NRF2,NRF2,6
SLC7A11,SLC7A11,5
IVDD,IVDD,5
DEPRESSION,DEPRESSION,5
INFLAMMATION,INFLAMMATION,5
MMP3,MMP3,5
JC,JC,5
ULK1,ULK1,5
GSDMD,GSDMD,5
TOLL,TOLL,5
L5,L5,5
CA1,CA1,5
INTERVERTEBRAL,INTERVERTEBRAL,5
FSH,FSH,5
COA,COA,5
MWT,MWT,5
TC,TC,5
ARTHRITIS,ARTHRITIS,5
DISEASE,DISEASE,5
MECHANICAL,MECHANICAL,5
ACTIVATION,ACTIVATION,5
AST,AST,5
RHEUMATOID,RHEUMATOID,5
ICH,ICH,5
SCFAS,SCFAS,5
L4,L4,5
UC,UC,5
NEURONAL,NEURONAL,5
DRG,DRG,5
INHIBITION,INHIBITION,5
HIPPOCAMPAL,HIPPOCAMPAL,5
CATGUT,CATGUT,5
PROTEOMICS,PROTEOMICS,5
OFT,OFT,5
ACSL4,ACSL4,4
INTEGR,INTEGR,4
PLEASE,PLEASE,4
VIP,VIP,4
PGE2,PGE2,4
HIF1A,HIF1A,4
CLOCK,CLOCK,4
PCPA,PCPA,4
MULTIPLE,MULTIPLE,4
GSEA,GSEA,4
CD206,CD206,4
MOLECULAR,MOLECULAR,4
SMAD,SMAD,4
CA2,CA2,4
ALCIAN,ALCIAN,4
GUT,GUT,4
INTESTINAL,INTESTINAL,4
OCCLUDIN,OCCLUDIN,4
MODULATES,MODULATES,4
POST,POST,4
FINS,FINS,4
LDL,LDL,4
SN,SN,4
PKM2,PKM2,4
TARGETING,TARGETING,4
ASC,ASC,4
DISC,DISC,4
HPA,HPA,4
MANUAL,MANUAL,4
NE,NE,4
DE,DE,4
ISCHEMIA,ISCHEMIA,4
REPERFUSION,REPERFUSION,4
TRAP,TRAP,4
TRANSMISSION,TRANSMISSION,4
DEG,DEG,4
SUPPRESSING,SUPPRESSING,4
IBA,IBA,4
ALT,ALT,4
JNK,JNK,4
IS,IS,4
MODULATION,MODULATION,4
LH,LH,4
POR,POR,4
ACE,ACE,4
INVESTIGATION,INVESTIGATION,4
MPTP,MPTP,4
GASTRIC,GASTRIC,4
FC,FC,4
EVANS,EVANS,4
DRGS,DRGS,4
REVEALS,REVEALS,4
EMBEDDING,EMBEDDING,4
CAG,CAG,4
LDH,LDH,4
RELEVANCE,RELEVANCE,4
APP,APP,4
PS1,PS1,4
YANGMING,YANGMING,4
FOOT,FOOT,4
EPM,EPM,4
KEAP1,KEAP1,4
GOVERNOR,GOVERNOR,4
CXCL10,CXCL10,3
ACC,ACC,3
IMAGING,IMAGING,3
SVM,SVM,3
WARM,WARM,3
POLYMERASE,POLYMERASE,3
REACTION,REACTION,3
OA,OA,3
NEUROPATHIC,NEUROPATHIC,3
TOGETHER,TOGETHER,3
DEPS,DEPS,3
MILD,MILD,3
MMP2,MMP2,3
MMP9,MMP9,3
ACCUMULATING,ACCUMULATING,3
FIRMICUTES,FIRMICUTES,3
ACID,ACID,3
PRECLINICAL,PRECLINICAL,3
SEPSIS,SEPSIS,3
GW4869,GW4869,3
CORE,CORE,3
EXPLORING,EXPLORING,3
IDD,IDD,3
PCOS,PCOS,3
VAGINAL,VAGINAL,3
INHIBITING,INHIBITING,3
MICROBIOTA,MICROBIOTA,3
H4,H4,3
YANG,YANG,3
EMG,EMG,3
IMMUNE,IMMUNE,3
L1,L1,3
TREM2,TREM2,3
AKT1,AKT1,3
RAS,RAS,3
DEGENERATION,DEGENERATION,3
PTSD,PTSD,3
SUBSEQUENT,SUBSEQUENT,3
OUTCOMES,OUTCOMES,3
BIOINFORMATIC,BIOINFORMATIC,3
TH,TH,3
FINDINGS,FINDINGS,3
MICROGLIAL,MICROGLIAL,3
MYD88,MYD88,3
SHAOYANG,SHAOYANG,3
WAIGUAN,WAIGUAN,3
ATTENUATES,ATTENUATES,3
MODULATING,MODULATING,3
FE2,FE2,3
SMA,SMA,3
GLUT1,GLUT1,3
CANCER,CANCER,3
PROMOTING,PROMOTING,3
CORRELATION,CORRELATION,3
TLR,TLR,3
MUCOSAL,MUCOSAL,3
ZEA,ZEA,3
ATG5,ATG5,3
LACTOBACILLUS,LACTOBACILLUS,3
B2,B2,3
B6,B6,3
NEUN,NEUN,3
ATF6,ATF6,3
PTEN,PTEN,3
STRESS,STRESS,3
