"identifier","score","Gene"
"7EEK",1,"PAM"
"5XUZ",0.968308924727592,"PAM"
"5NG6",0.960365424308168,"PAM"
"8TVL",0.953765923526414,"PAM"
"5XUS",0.938655368603368,"PAM"
"5XUT",0.938655368603368,"PAM"
"5XUU",0.938655368603368,"PAM"
"8D3L",0.935988535183216,"PAM"
"6OQ9",0.932081794385876,"PAM"
"4OO8",0.928578813184822,"PAM"
"5FW1",0.922074526584475,"PAM"
"5FW2",0.922074526584475,"PAM"
"5FW3",0.922074526584475,"PAM"
"7Z4J",0.922074526584475,"PAM"
"6OKW",0.921408767154556,"PAM"
"6OKX",0.921408767154556,"PAM"
"6OKY",0.921408767154556,"PAM"
"7Q02",0.921408767154556,"PAM"
"4CMP",0.91915055054062,"PAM"
"6NM9",0.910337770378521,"PAM"
"8HKD",0.902423863556019,"PAM"
"1UVB",0.900779681911294,"PAM"
