"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0009410","response to xenobiotic stimulus","132/835","444/18888",0.297297297297297,6.72497167826509,26.2535059142606,2.73220656764644e-73,1.54178416612289e-69,6.0424905248686e-70,"7157/5979/7124/999/1499/1956/4193/5925/595/4609/1026/596/3586/3553/1019/6714/6772/7852/7161/4313/836/5743/5970/4780/3320/1385/4843/5111/5243/4363/1277/9370/1906/1869/7057/4067/6198/2353/2950/1636/2944/7037/6647/983/100/1312/1392/3172/7150/768/1728/3066/1576/1545/196/1147/7515/1565/3690/1543/19/2185/847/6622/6720/4824/4129/3932/10257/6530/6716/5579/6532/5562/952/1548/3651/6531/10628/476/54658/2903/6095/5563/135/8061/10599/8647/1544/1244/5447/1571/8856/5021/6097/590/1374/7172/2355/3297/1559/1557/2235/6822/4025/1555/6715/8714/2947/10014/11309/2902/7804/336/1558/28234/2938/54600/873/1812/57468/54659/2946/1592/79001/64241/29785/64240/18/2939/56603/1429",132
"BP","GO:0006979","response to oxidative stress","106/835","398/18888",0.266331658291457,6.02451779857371,21.7880070068699,2.24989610887335e-53,6.34808187118615e-50,2.48791143407521e-50,"7157/7173/207/1956/4193/50506/4233/3569/406991/596/3091/6714/6772/5594/4318/4313/836/5743/3725/3082/5970/3552/3717/4780/5595/9817/695/142/558/5111/348/4363/1277/9370/5599/5580/1906/2353/23411/2950/4353/6667/4314/1612/948/351/6647/983/1312/406921/2539/1728/6416/4846/3066/1545/3162/1147/10891/7515/5742/2185/847/6622/7350/1909/10013/7351/7295/2936/5052/11315/5076/3043/3240/4217/5663/8877/240/3373/4929/5562/1386/3848/952/10628/468/1965/5563/8061/8647/7352/2395/22933/653361/3039/3297/3040/6278/4025/11168/5693/337/4504/2110/79661",106
"BP","GO:0009636","response to toxic substance","83/835","260/18888",0.319230769230769,7.22111469368954,21.7231001451213,1.42660738261855e-48,2.68344848670549e-45,1.05168495118651e-45,"7173/7124/999/4193/50506/1026/406991/596/213/581/5743/4780/7097/5243/348/4067/6198/2353/2950/4353/2944/948/6647/983/1312/9076/1728/2952/4846/9429/1545/196/1147/1543/5742/847/23028/216/7295/5444/2936/4129/5292/5052/11315/3043/3240/6280/1356/6532/468/540/10765/9536/3039/4502/4747/3040/2235/4025/6715/2947/4495/1066/6335/2053/10327/128/2938/4489/4493/3045/337/4494/4504/241/55937/2946/4501/373156/4496/5446/2560",83
"BP","GO:0032496","response to lipopolysaccharide","94/835","348/18888",0.270114942528736,6.11009704728474,20.6925466002049,7.0385342805302e-48,9.92961223625797e-45,3.89156855878788e-45,"7124/207/3569/406991/29126/356/3586/3553/1019/6714/841/4790/5594/3576/4318/836/7431/5743/50943/5970/3552/3717/6347/4792/5914/5595/7099/1432/1437/4843/695/558/7097/3627/1440/5599/5054/1906/5578/842/7412/4067/6198/2353/2950/4353/1636/4314/3146/7056/6401/948/942/114548/9076/1728/1991/4846/3066/7494/1147/2919/1543/19/9971/834/6622/840/1594/4282/6403/4129/6279/5737/6280/5581/1051/2149/4057/54658/6590/2355/10062/3297/6278/2920/6197/10014/717/249/128/23643/623/4986",94
"BP","GO:0002237","response to molecule of bacterial origin","96/835","369/18888",0.260162601626016,5.88497152037389,20.3805776988907,2.53661230992189e-47,2.86282065297784e-44,1.12198367645176e-44,"7124/207/3569/406991/29126/356/3586/3553/1019/6714/841/4790/5594/3576/4318/836/7431/5743/50943/5970/3552/3717/6347/4792/5914/5595/7099/1432/1437/4843/695/558/7097/3627/1440/5599/5054/1906/5578/842/7412/4067/6198/2353/2950/4353/1636/4314/3146/7056/6401/948/942/114548/9076/1728/1991/4846/3066/7494/196/1147/2919/1543/19/9971/834/6622/840/1594/4282/6403/4129/6279/5737/6280/5581/1051/2149/4057/54658/6590/2355/10062/3297/6278/2920/6197/10014/717/249/128/23643/721/623/4986",96
"BP","GO:0031667","response to nutrient levels","107/835","490/18888",0.218367346938776,4.93954784308933,19.0024303173495,7.33171121120154e-45,6.89547439413505e-42,2.70244302714639e-42,"7157/7124/207/1956/4193/355/1026/596/5468/2475/6714/6772/5594/3480/213/581/5743/5970/1387/3552/4780/5914/5595/6513/1432/6696/3627/348/1277/9370/5599/6935/7421/6256/7412/6198/2353/23411/4353/3309/6667/1636/7037/1312/2539/1728/3949/5465/1649/7494/7299/1545/10891/1543/19/9971/847/6720/7350/5467/6257/1594/7351/6566/5292/5076/4217/6716/5579/51085/6532/5562/1386/3651/659/54658/468/1965/5563/3178/8644/7442/7534/590/1374/7352/22933/7019/3297/5564/6715/360/717/5166/249/2/23408/5337/8854/10038/4504/3992/56923/1592/64241/64240/56603",107
"BP","GO:0070482","response to oxygen levels","91/835","354/18888",0.257062146892655,5.81483812036943,19.6674827890036,2.2097097603416e-44,1.78134173965824e-41,6.98135369395144e-42,"7157/7124/207/7015/4193/355/4609/1026/406991/596/7040/5468/2475/3091/7422/6714/7852/4313/836/5743/1387/3552/4780/6513/857/4843/7097/1277/4088/9370/1906/842/7057/7412/5328/2353/23411/5291/7291/5327/1803/2023/1636/7037/100/1312/1958/329/768/5465/650/3066/3162/7515/1543/54583/2185/847/5034/4824/5467/1909/7351/6532/6517/4929/5562/1386/4017/952/5581/468/6095/3099/4204/5423/5021/1374/7352/22933/7019/2355/3297/360/1139/54890/134/10038/4504/3751/18",91
"BP","GO:0010038","response to metal ion","90/835","360/18888",0.25,5.65508982035928,19.1785196275395,8.14600201725545e-43,5.24286505280266e-40,2.05475987500833e-40,"207/999/1956/7015/4193/596/3091/841/5594/4318/836/5743/3725/3552/4780/5595/857/1385/142/5111/5599/1906/842/7057/7412/2353/7037/983/2539/7018/9076/1728/3162/1147/1543/2185/847/6622/7351/4129/6279/11315/5562/4017/3651/6531/10628/3727/468/1965/5563/4204/1544/2167/8644/540/2395/8912/653361/4502/3297/23621/3292/3726/246/2235/360/1742/4495/3710/2243/801/10016/10243/6331/3795/4489/5066/4493/4891/3736/4494/4504/7036/241/4501/4496/18/56670/5025",90
"BP","GO:0036293","response to decreased oxygen levels","86/835","327/18888",0.262996941896024,5.94908531560732,19.4154816290342,8.36182624051461e-43,5.24286505280266e-40,2.05475987500833e-40,"7157/7124/207/7015/4193/4609/406991/596/7040/5468/2475/3091/7422/6714/7852/4313/836/5743/1387/3552/4780/6513/857/4843/7097/4088/9370/1906/842/7057/7412/5328/2353/23411/5291/7291/5327/1803/2023/1636/7037/100/1312/1958/329/768/5465/650/3162/7515/1543/54583/2185/847/5034/4824/5467/1909/7351/6532/6517/4929/5562/1386/4017/952/5581/468/6095/3099/4204/5021/1374/7352/22933/7019/2355/3297/360/1139/54890/134/10038/4504/3751/18",86
"BP","GO:0097305","response to alcohol","77/835","259/18888",0.297297297297297,6.72497167826509,19.9516349510207,1.45896979558569e-42,8.23296655649006e-40,3.22662688476373e-40,"7124/207/672/999/1499/4193/1026/7040/1019/841/3558/3480/50943/5914/598/5788/1385/142/1440/9370/7412/6198/2353/1080/1636/6647/983/1312/1392/2539/329/9076/1728/5465/3066/1545/196/3728/19/2185/847/6720/7350/10013/4129/6279/5737/5579/6517/5562/5581/6531/54658/2903/5563/8061/8647/5423/8644/9353/1374/2904/4988/4747/2235/1815/2902/7804/2/1066/7284/7122/5729/116443/1646/4986/18",77
"BP","GO:0000302","response to reactive oxygen species","69/835","203/18888",0.339901477832512,7.68869354886286,20.6059576698999,1.69274158732962e-42,8.68376434300097e-40,3.40330150715746e-40,"207/1956/4193/4233/3569/406991/596/3091/6714/6772/5594/4318/4313/836/3725/3082/5970/3552/4780/5595/695/558/5111/348/1277/5599/5580/1906/2353/23411/2950/4353/4314/948/6647/983/1728/6416/4846/3066/1545/3162/1147/2185/847/7350/10013/7351/7295/5052/11315/5076/3043/3240/4217/8877/3373/5562/10628/8061/7352/2395/653361/3039/3297/3040/6278/337/4504",69
"BP","GO:0072593","reactive oxygen species metabolic process","74/835","238/18888",0.310924369747899,7.03322095305188,20.1441213008251,1.92334669459906e-42,9.04453783135206e-40,3.54469421522159e-40,"7157/7173/7124/672/1956/50506/1026/406991/596/7040/3091/3630/1401/4780/7099/1432/4843/5580/1906/7057/5879/2950/4353/4314/6850/948/6647/2539/329/1728/2147/4846/5465/1545/1543/2185/847/1994/6622/7350/10013/7351/7295/4129/5052/11315/5076/3043/3240/50507/59272/7498/240/183/3099/1544/185/23410/239/8644/22933/653361/3039/3040/4025/5166/2902/23408/3045/337/873/4504/10193/5446",74
"BP","GO:0071466","cellular response to xenobiotic stimulus","67/835","194/18888",0.345360824742268,7.81218593740354,20.5109736200147,8.52588932064976e-42,3.70089180280205e-39,1.45043671762633e-39,"7157/1956/5925/4609/3553/7852/4780/4843/5111/5243/4363/9370/1906/1869/2950/2944/7037/100/3172/1728/1576/1545/196/1565/3690/1543/19/4824/10257/5562/1548/54658/6095/5563/10599/8647/1544/1244/5447/1571/8856/6097/590/7172/3297/1559/1557/6822/4025/1555/8714/2947/11309/2902/1558/28234/2938/54600/873/54659/2946/1592/79001/29785/2939/56603/1429",67
"BP","GO:0001666","response to hypoxia","83/835","313/18888",0.26517571884984,5.99837003309675,19.1772441994937,1.27945613025905e-41,5.15712210217987e-39,2.02115588697313e-39,"7157/7124/7015/4193/4609/406991/596/7040/5468/2475/3091/7422/6714/7852/4313/836/5743/1387/3552/4780/6513/857/4843/7097/4088/9370/1906/842/7057/7412/5328/2353/23411/5291/7291/5327/1803/2023/1636/7037/100/1312/1958/329/768/5465/650/3162/7515/1543/54583/2185/847/5034/4824/5467/1909/7351/6532/6517/4929/5562/1386/4017/952/5581/468/6095/3099/4204/1374/7352/22933/7019/2355/3297/360/1139/54890/134/4504/3751/18",83
"BP","GO:0043434","response to peptide hormone","96/835","438/18888",0.219178082191781,4.95788696579444,18.0240462764414,2.25611832647204e-40,8.48751714418782e-38,3.32638919573176e-38,"5290/207/4193/5925/6774/5468/2475/3586/3553/6714/6772/4790/5594/5894/5781/3480/5295/5743/3630/5315/5970/3717/4780/3643/2932/5747/5595/6513/1432/857/1385/142/7097/1277/4088/9370/5580/1906/5578/4067/6198/2353/9734/23411/6667/1636/6777/3718/1312/1958/1509/5465/7494/1545/1147/6776/3690/9971/847/6720/1909/7351/2740/2641/2852/6775/6716/5579/2645/6517/4929/5562/5590/183/5771/5770/185/5021/7442/7352/4747/3297/760/197/6715/3416/10014/5166/249/186/3795/815/5786/5791/5319/4986",96
"BP","GO:1901654","response to ketone","69/835","217/18888",0.317972350230415,7.19264880377494,19.7320662698514,2.47949332056273e-40,8.74486300495968e-38,3.42724701743572e-38,"5290/207/1956/1026/7040/367/1019/6714/3480/50943/5970/3717/598/8313/5788/6696/857/1385/142/7097/5111/1906/842/7057/6198/2353/23411/1080/6667/1636/1312/1392/9076/768/1728/1545/196/6720/7350/4824/10013/7351/1977/4129/11315/5737/6716/5562/1364/952/5581/10628/5563/2002/8061/5021/8644/9353/7352/653361/4747/10062/3297/2235/6715/2/5729/1646/2560",69
"BP","GO:0050878","regulation of body fluid levels","88/835","370/18888",0.237837837837838,5.37997734261207,18.2989311415409,5.28378831335198e-40,1.70509294936693e-37,6.68252289584658e-38,"5290/1956/595/3569/3091/7422/6714/5294/3717/4780/4830/959/7099/1432/857/1385/558/348/7376/5580/5054/7421/1906/5578/7057/4067/5328/5291/5327/1080/2152/7056/6850/6777/948/100/4627/3172/5265/2147/3315/4846/7494/6776/3690/7448/5340/6403/55107/3827/3932/3043/7498/6532/5777/3848/5581/2149/6531/231/3099/135/239/5021/540/2923/5341/2355/10062/710/360/554/2243/3783/2161/1131/10544/134/4881/6582/3818/152/79001/3053/4986/4987/151/725",88
"BP","GO:0062197","cellular response to chemical stress","81/835","311/18888",0.260450160771704,5.89147621156401,18.706062737617,5.43889298043677e-40,1.70509294936693e-37,6.68252289584658e-38,"7157/5290/207/1956/4193/4233/3569/355/406991/2475/3091/6714/5594/4318/4313/836/5743/3725/3082/5970/4780/5595/9817/6513/857/695/142/558/5111/4363/5599/5580/1906/2353/23411/4353/4314/1612/948/6647/983/406921/2539/114548/1728/6416/4846/1649/3066/1545/1147/10891/847/834/6622/7350/1909/10013/7295/2936/5052/11315/5076/4217/8877/240/6517/4929/5562/1386/231/468/1965/5563/2395/22933/653361/3297/624/337/4504",81
"BP","GO:1901653","cellular response to peptide","88/835","376/18888",0.234042553191489,5.29412664033635,18.0880661157846,2.07587596624297e-39,6.16535161974163e-37,2.41629662331107e-37,"7157/5290/7124/207/4193/5925/6774/5468/2475/3553/6714/6772/4790/5594/5894/5781/3480/7431/5295/3630/5315/3383/5970/3717/4780/3643/2932/5747/5595/7099/857/142/4363/9370/5580/1906/5578/7412/4067/6198/2353/9734/23411/6667/1636/6777/948/351/3718/1509/7494/1545/6776/3690/9971/6720/1909/7351/2740/55107/2641/2852/5663/5579/2645/6517/4929/5562/5590/183/5771/5770/185/3297/760/197/23621/773/6715/3416/10014/5166/186/815/5786/5791/5319/782",88
