"vina_results","Model","Path"
"REMARK VINA RESULT:    -5.652      0.000      0.000","Model_1","output/results_Vina_X3KP8_3KP8.pdb_score.csv"
"REMARK VINA RESULT:    -5.522      3.726      8.739","Model_2","output/results_Vina_X3KP8_3KP8.pdb_score.csv"
"REMARK VINA RESULT:    -5.415      1.754      2.521","Model_3","output/results_Vina_X3KP8_3KP8.pdb_score.csv"
"REMARK VINA RESULT:    -5.159      2.291      4.042","Model_4","output/results_Vina_X3KP8_3KP8.pdb_score.csv"
"REMARK VINA RESULT:    -5.139      3.081      4.677","Model_5","output/results_Vina_X3KP8_3KP8.pdb_score.csv"
"REMARK VINA RESULT:    -4.982      2.152      6.039","Model_6","output/results_Vina_X3KP8_3KP8.pdb_score.csv"
"REMARK VINA RESULT:    -4.933      1.200      2.998","Model_7","output/results_Vina_X3KP8_3KP8.pdb_score.csv"
"REMARK VINA RESULT:    -4.925      2.191      2.967","Model_8","output/results_Vina_X3KP8_3KP8.pdb_score.csv"
"REMARK VINA RESULT:    -4.793      2.640      4.697","Model_9","output/results_Vina_X3KP8_3KP8.pdb_score.csv"
"REMARK VINA RESULT:    -4.685      1.354      6.608","Model_10","output/results_Vina_X3KP8_3KP8.pdb_score.csv"
"REMARK VINA RESULT:    -4.630      1.901      3.485","Model_11","output/results_Vina_X3KP8_3KP8.pdb_score.csv"
"REMARK VINA RESULT:    -4.154      2.979      4.697","Model_12","output/results_Vina_X3KP8_3KP8.pdb_score.csv"
"REMARK VINA RESULT:    -3.749      2.939      4.356","Model_13","output/results_Vina_X3KP8_3KP8.pdb_score.csv"
"REMARK VINA RESULT:    -3.470      2.087      6.763","Model_14","output/results_Vina_X3KP8_3KP8.pdb_score.csv"
"REMARK VINA RESULT:    -2.748      2.815      4.154","Model_15","output/results_Vina_X3KP8_3KP8.pdb_score.csv"
