"vina_results","Model","Path"
"REMARK VINA RESULT:    -5.657      0.000      0.000","Model_1","output/results_Vina_X440832_3KP8.pdb_score.csv"
"REMARK VINA RESULT:    -5.463      3.743      8.801","Model_2","output/results_Vina_X440832_3KP8.pdb_score.csv"
"REMARK VINA RESULT:    -5.403      1.798      2.571","Model_3","output/results_Vina_X440832_3KP8.pdb_score.csv"
"REMARK VINA RESULT:    -5.142      3.077      4.663","Model_4","output/results_Vina_X440832_3KP8.pdb_score.csv"
"REMARK VINA RESULT:    -5.138      2.271      4.013","Model_5","output/results_Vina_X440832_3KP8.pdb_score.csv"
"REMARK VINA RESULT:    -4.662      1.885      2.565","Model_6","output/results_Vina_X440832_3KP8.pdb_score.csv"
"REMARK VINA RESULT:    -4.654      5.419      8.064","Model_7","output/results_Vina_X440832_3KP8.pdb_score.csv"
"REMARK VINA RESULT:    -4.374      3.265      8.346","Model_8","output/results_Vina_X440832_3KP8.pdb_score.csv"
"REMARK VINA RESULT:    -4.358      8.460     11.874","Model_9","output/results_Vina_X440832_3KP8.pdb_score.csv"
"REMARK VINA RESULT:    -4.353      6.493     10.667","Model_10","output/results_Vina_X440832_3KP8.pdb_score.csv"
"REMARK VINA RESULT:    -4.196      3.648      9.425","Model_11","output/results_Vina_X440832_3KP8.pdb_score.csv"
"REMARK VINA RESULT:    -4.186      3.692      8.135","Model_12","output/results_Vina_X440832_3KP8.pdb_score.csv"
"REMARK VINA RESULT:    -4.163     12.401     14.521","Model_13","output/results_Vina_X440832_3KP8.pdb_score.csv"
"REMARK VINA RESULT:    -4.122      3.714      8.676","Model_14","output/results_Vina_X440832_3KP8.pdb_score.csv"
"REMARK VINA RESULT:    -3.937     11.441     13.906","Model_15","output/results_Vina_X440832_3KP8.pdb_score.csv"
"REMARK VINA RESULT:    -3.786      4.791      8.849","Model_16","output/results_Vina_X440832_3KP8.pdb_score.csv"
