"identifier","score","Gene"
"2PKR",1,"GAPDH"
"1CER",0.992911262736155,"GAPDH"
"2G82",0.9907430087177,"GAPDH"
"1I32",0.990139808257974,"GAPDH"
"1I33",0.987430163290623,"GAPDH"
"2X0N",0.983405983567463,"GAPDH"
"2PKQ",0.976047108558301,"GAPDH"
"1IHY",0.975693705134382,"GAPDH"
"4GPD",0.974351415152372,"GAPDH"
"7Q57",0.974240066171609,"GAPDH"
"1IHX",0.973274932313008,"GAPDH"
"1YWG",0.973274932313008,"GAPDH"
"1RM4",0.970676045789693,"GAPDH"
"1GYQ",0.96943690288945,"GAPDH"
"1ML3",0.96943690288945,"GAPDH"
"1K3T",0.968292311480828,"GAPDH"
"2CZC",0.968292311480828,"GAPDH"
"1A7K",0.966706326675863,"GAPDH"
"1GYP",0.966706326675863,"GAPDH"
"1NPT",0.966706326675863,"GAPDH"
"1NQA",0.966706326675863,"GAPDH"
"1QXS",0.966706326675863,"GAPDH"
"1H6D",0.965626563076901,"GAPDH"
"7Q55",0.965100001161389,"GAPDH"
"7Q56",0.965100001161389,"GAPDH"
