"compound.lower","herb_en_name","herb_cn_name","herb_pinyin","Mol.ID","Mol.ID2","Compound.EN","OB...","MW","DL","CID","InChIKey","Name","Bestname","CanonicalSMILES","XLogP","superclass","class","subclass","KEGGID","Keggid","HMDBID","MolecularFormula","Synonym.separate","entrez_gene_symbol"
"(-)-nopinene","Prunellae Spica","夏枯草","Xiakucao","MOL000126","TCMol28269","(-)-nopinene","44.83529174","136.260","0.052595","440967","WTARULDDTDQWMU-IUCAKERBSA-N","(-)-beta-Pinene;(-)-nopinene;(1S,5S)-6,6-dimethyl-2-methylidenebicyclo[3.1.1]heptane","Nopinen","CC1(C2CCC(=C)C1C2)C",3.1,"Lipids and lipid-like molecules","Prenol lipids","Monoterpenoids","C06307",NA,NA,"C10H16"," (-)-nopinene","ADH1A;ADH1B;ADH1C;DLG4;ETFDH;ALDH2;GPD1L;GAMT;GATM;GPD1;GPD2;KCNA1;KCNA2;KCNA3;KCNA4;KCNA5;KCNA6;KCNA7;KCNA10;KCNB1;KCNC1;KCNC2;KCNC3;KCND1;KCND2;KCND3;PAX2;KCNK4;ZDHHC2;PRKAB1;RNASE1;TPO;CAT;AIFM2;KCNB2"
"(-)-nopinene","Prunellae Spica","夏枯草","Xiakucao","MOL000126","TCMol28269","(-)-nopinene","44.83529174","136.260","0.052595","440967","WTARULDDTDQWMU-IUCAKERBSA-N","(-)-beta-Pinene;(-)-nopinene;(1S,5S)-6,6-dimethyl-2-methylidenebicyclo[3.1.1]heptane","Nopinen","CC1(C2CCC(=C)C1C2)C",3.1,"Lipids and lipid-like molecules","Prenol lipids","Monoterpenoids","C06307",NA,NA,"C10H16","(-)-nopinene","ADH1A;ADH1B;ADH1C;DLG4;ETFDH;ALDH2;GPD1L;GAMT;GATM;GPD1;GPD2;KCNA1;KCNA2;KCNA3;KCNA4;KCNA5;KCNA6;KCNA7;KCNA10;KCNB1;KCNC1;KCNC2;KCNC3;KCND1;KCND2;KCND3;PAX2;KCNK4;ZDHHC2;PRKAB1;RNASE1;TPO;CAT;AIFM2;KCNB2"
"(2r,3r,4s,5s,6r)-2-[[(3s,5s,9r,10s,13r,14r,17r)-17-[(e,2r,5s)-5-ethyl-6-methylhept-3-en-2-yl]-10,13-dimethyl-2,3,4,5,6,9,11,12,14,15,16,17-dodecahydro-1h-cyclopenta[a]phenanthren-3-yl]oxy]-6-(hydroxymethyl)oxane-3,4,5-triol","Prunellae Spica","夏枯草","Xiakucao","MOL004652","TCMol28294","(2R,3R,4S,5S,6R)-2-[[(3S,5S,9R,10S,13R,14R,17R)-17-[(E,2R,5S)-5-ethyl-6-methylhept-3-en-2-yl]-10,13-dimethyl-2,3,4,5,6,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl]oxy]-6-(hydroxymethyl)oxane-3,4,5-triol","21.1958091299","574.930","0.6273","12960505","ITYGLICZKGWOPA-FDZHQVDOSA-N","alpha-Spinasterol glucoside","Spinasteryl glucoside","CCC(C=CC(C)C1CCC2C1(CCC3C2=CCC4C3(CCC(C4)OC5C(C(C(C(O5)CO)O)O)O)C)C)C(C)C",6.7,NA,NA,NA,NA,NA,NA,NA,"(2R,3R,4S,5S,6R)-2-[[(3S,5S,9R,10S,13R,14R,17R)-17-[(E,2R,5S)-5-ethyl-6-methylhept-3-en-2-yl]-10,13-dimethyl-2,3,4,5,6,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl]oxy]-6-(hydroxymethyl)oxane-3,4,5-triol",NA
"(r)-(-)-alpha-phellandrene","Prunellae Spica","夏枯草","Xiakucao","MOL000698","TCMol28319","(R)-(-)-alpha-Phellandrene","27.5067955831","136.260","0.022258","442482","OGLDWXZKYODSOB-SNVBAGLBSA-N","(-)-5-Isopropyl-2-Methyl-1,3-Cyclohexadiene;(5R)-2-methyl-5-(propan-2-yl)cyclohexa-1,3-diene;(R)-(-)-alpha-Phellandrene;alpha-PHELLANDRENE, (-)-","(R)-(-)-alpha-Phellandrene","CC1=CCC(C=C1)C(C)C",3.2,"Lipids and lipid-like molecules","Prenol lipids","Monoterpenoids","C09875",NA,NA,"C10H16","(R)-(-)-alpha-Phellandrene","ADH1A;ADH1B;ADH1C;DLG4;ETFDH;ALDH2;GPD1L;GAMT;GATM;GPD1;GPD2;KCNA1;KCNA2;KCNA3;KCNA4;KCNA5;KCNA6;KCNA7;KCNA10;KCNB1;KCNC1;KCNC2;KCNC3;KCND1;KCND2;KCND3;PAX2;KCNK4;ZDHHC2;PRKAB1;RNASE1;TPO;CAT;AIFM2;KCNB2"
"[(3s)-3,7-dimethylocta-1,6-dien-3-yl] acetate","Prunellae Spica","夏枯草","Xiakucao","MOL005151","TCMol28299","[(3S)-3,7-dimethylocta-1,6-dien-3-yl] acetate","36.8434253536","196.320","0.041586","6999980","UWKAYLJWKGQEPM-GFCCVEGCSA-N","[(3S)-3,7-dimethylocta-1,6-dien-3-yl] acetate","(s)-linalyl acetate","CC(=CCCC(C)(C=C)OC(=O)C)C",3.3,NA,NA,NA,NA,NA,NA,NA,"[(3S)-3,7-dimethylocta-1,6-dien-3-yl] acetate","RELA;KEAP1"
"[(3s)-3,7-dimethylocta-1,6-dien-3-yl] acetate","Prunellae Spica","夏枯草","Xiakucao","MOL005151","TCMol28299","[(3S)-3,7-dimethylocta-1,6-dien-3-yl] acetate","36.8434253536","196.320","0.041586","6999980","UWKAYLJWKGQEPM-GFCCVEGCSA-N","[(3S)-3,7-dimethylocta-1,6-dien-3-yl] acetate","(s)-linalyl acetate","CC(=CCCC(C)(C=C)OC(=O)C)C",3.3,NA,NA,NA,NA,NA,NA,NA," [(3S)-3,7-dimethylocta-1,6-dien-3-yl] acetate","RELA;KEAP1"
"1,8-cineole","Prunellae Spica","夏枯草","Xiakucao","MOL000122","TCMol28268","1,8-cineole","39.7292164619","154.280","0.049041","2758","WEEGYLXZBRQIMU-UHFFFAOYSA-N","(1s,4s)-1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane;1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane;1,8-Cineol;1,8-cineole;1,8-Cineole;cineole;Eucalyptol","1,8-Cineole","CC1(C2CCC(O1)(CC2)C)C",2.5,NA,NA,NA,"C09844;D04115",NA,NA,NA,"1,8-cineole","TRPA1;TRPV1;MPO;ACHE;AHR;IL1B;IL5;TNF;TRPM8;NLRP3;IFNG;IL6;TRPV3;OPRK1;CACNA1A;CACNA1C;CACNA1D;CACNA1F;CACNA1S;CACNB1;CACNB2;CACNB3;CACNB4;ska;HTR3A;Trpm8;Uchl1"
"1,8-cineole","Prunellae Spica","夏枯草","Xiakucao","MOL000122","TCMol28268","1,8-cineole","39.7292164619","154.280","0.049041","2758","WEEGYLXZBRQIMU-UHFFFAOYSA-N","(1s,4s)-1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane;1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane;1,8-Cineol;1,8-cineole;1,8-Cineole;cineole;Eucalyptol","1,8-Cineole","CC1(C2CCC(O1)(CC2)C)C",2.5,NA,NA,NA,"C09844;D04115",NA,NA,NA,"1,8-Cineole","TRPA1;TRPV1;MPO;ACHE;AHR;IL1B;IL5;TNF;TRPM8;NLRP3;IFNG;IL6;TRPV3;OPRK1;CACNA1A;CACNA1C;CACNA1D;CACNA1F;CACNA1S;CACNB1;CACNB2;CACNB3;CACNB4;ska;HTR3A;Trpm8;Uchl1"
"amyrin","Prunellae Spica","夏枯草","Xiakucao","MOL000361","TCMol28285","Amyrin","17.6019182649","426.800","0.7633","73145","JFSHUTJDVKUMTJ-QHPUVITPSA-N","beta-amyrin;beta-Amyrin;Beta-Amyrin","beta-amyrin","CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C)C)C",9.2,NA,NA,NA,"C08616",NA,NA,"C30H50O"," Amyrin","CACNG3;CACNG2;CYP27B1;CLEC4E;CACNG5;CACNG4;CACNA2D3;CACNG8;CACNG7;CACNG6;RORA;RXRA;THRB;VDR;CACNA1A;CACNA1B;CACNA1C;CACNA1D;CACNA1E;CACNA1F;CACNA1S;CACNA2D1;CACNB1;CACNB2;CACNB3;CACNB4;CACNG1;CACNA1I;CACNA1H;CACNA1G;CACNA2D2;CACNA2D4;NR1I3;ALOX15B;Akr1b1;ALOX5;PTPN1"
"arjunglucoside i","Prunellae Spica","夏枯草","Xiakucao","MOL006768","TCMol28311","arjunglucoside I","8.10856495412","666.940","0.34809","14658050","CMZFNIMQBCBHEX-APNSOIJXSA-N","Arjunglucoside I","Arjunglucoside I","CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)CO)O)O)C)C)C2C1O)C)C(=O)OC6C(C(C(C(O6)CO)O)O)O)C",2.7,"Lipids and lipid-like molecules","Prenol lipids","Triterpenoids",NA,NA,NA,"C36H58O11","arjunglucoside I",NA
