"compound.lower","herb_en_name","herb_cn_name","herb_pinyin","Mol.ID","Mol.ID2","Compound.EN","OB...","MW","DL","CID","InChIKey","Name","Bestname","CanonicalSMILES","XLogP","superclass","class","subclass","KEGGID","Keggid","HMDBID","MolecularFormula","Synonym.separate","entrez_gene_symbol"
"(+)-maalioxide","Panax Ginseng C. A. Mey.","人参","Renshen","MOL005269","TCMol22425","(+)-Maalioxide","55.92680377","222.410","0.127",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(1r,4e,7e,11r)-1,5,9,9-tetramethyl-12-oxabicyclo[9.1.0]dodeca-4,7-diene","Panax Ginseng C. A. Mey.","人参","Renshen","MOL004275","TCMol22420","(1R,4E,7E,11R)-1,5,9,9-tetramethyl-12-oxabicyclo[9.1.0]dodeca-4,7-diene","23.658652208","220.390","0.09682","14038843","RKQDKXOBRXTSFS-UOAUIWSESA-N","(1R,4E,7E,11R)-1,5,9,9-tetramethyl-12-oxabicyclo[9.1.0]dodeca-4,7-diene","Humulene, epoxide","CC1=CCCC2(C(O2)CC(C=CC1)(C)C)C",3.9,NA,NA,NA,NA,NA,NA,"C15H24O","(1R,4E,7E,11R)-1,5,9,9-tetramethyl-12-oxabicyclo[9.1.0]dodeca-4,7-diene",NA
"(1r,4s,4ar,8ar)-4-isopropyl-1,6-dimethyl-3,4,4a,7,8,8a-hexahydro-2h-naphthalen-1-ol","Panax Ginseng C. A. Mey.","人参","Renshen","MOL000942","TCMol22572","(1R,4S,4aR,8aR)-4-isopropyl-1,6-dimethyl-3,4,4a,7,8,8a-hexahydro-2H-naphthalen-1-ol","31.67305829","222.410","0.093126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(1s,4e,8e,10r)-4,8,11,11-tetramethylbicyclo[8.1.0]undeca-4,8-diene","Panax Ginseng C. A. Mey.","人参","Renshen","MOL002121","TCMol22397","(1S,4E,8E,10R)-4,8,11,11-tetramethylbicyclo[8.1.0]undeca-4,8-diene","21.6910212592","204.390","0.083616",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(2r,3s,4s,5r,6r)-2-(hydroxymethyl)-6-[[(3s,5r,8r,9r,10r,12r,13r,14r,17s)-12-hydroxy-4,4,8,10,14-pentamethyl-17-[(2z)-6-methylhepta-2,5-dien-2-yl]-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1h-cyclopenta[a]phenanthren-3-yl]oxy]oxane-3,4,5-triol","Panax Ginseng C. A. Mey.","人参","Renshen","MOL005345","TCMol22501","(2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-[[(3S,5R,8R,9R,10R,12R,13R,14R,17S)-12-hydroxy-4,4,8,10,14-pentamethyl-17-[(2Z)-6-methylhepta-2,5-dien-2-yl]-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl]oxy]oxane-3,4,5-triol","12.0862062174","604.960","0.58836","20839223","PHLXREOMFNVWOH-YAGNRYSRSA-N","Ginsenoside Rh3","Ginsenoside Rh3","CC(=CCC=C(C)C1CCC2(C1C(CC3C2(CCC4C3(CCC(C4(C)C)OC5C(C(C(C(O5)CO)O)O)O)C)C)O)C)C",7,"Lipids and lipid-like molecules","Prenol lipids","Terpene glycosides",NA,NA,NA,"C36H60O7","(2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-[[(3S,5R,8R,9R,10R,12R,13R,14R,17S)-12-hydroxy-4,4,8,10,14-pentamethyl-17-[(2Z)-6-methylhepta-2,5-dien-2-yl]-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl]oxy]oxane-3,4,5-triol",NA
"(2s,3r,4s,5s,6r)-2-[(2s)-2-[(3s,5r,8r,9r,10r,12r,13r,14r,17s)-3-[(2r,3r,4s,5s,6r)-4,5-dihydroxy-6-(hydroxymethyl)-3-[(2s,3r,4s,5s,6r)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-12-hydroxy-4,4,8,10,14-pentamethyl-2,3,5,6,7,9,11,12,13,15,1","Panax Ginseng C. A. Mey.","人参","Renshen","MOL005337","TCMol22493","(2S,3R,4S,5S,6R)-2-[(2S)-2-[(3S,5R,8R,9R,10R,12R,13R,14R,17S)-3-[(2R,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-12-hydroxy-4,4,8,10,14-pentamethyl-2,3,5,6,7,9,11,12,13,15,1","5.49921880628","947.300","0.094758",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(3r,5r,8r,9r,10r,12r,13r,14r,17s)-17-[(2s)-2-hydroxy-6-methylhept-5-en-2-yl]-4,4,8,10,14-pentamethyl-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1h-cyclopenta[a]phenanthrene-3,12-diol","Panax Ginseng C. A. Mey.","人参","Renshen","MOL005332","TCMol22488","(3R,5R,8R,9R,10R,12R,13R,14R,17S)-17-[(2S)-2-hydroxy-6-methylhept-5-en-2-yl]-4,4,8,10,14-pentamethyl-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthrene-3,12-diol","29.69203747","460.820","0.77143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(3s,5r,6s,8r,9r,10r,12r,13r,14r,17s)-17-[(2r)-2-hydroxy-6-methylhept-5-en-2-yl]-4,4,8,10,14-pentamethyl-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1h-cyclopenta[a]phenanthrene-3,6,12-triol","Panax Ginseng C. A. Mey.","人参","Renshen","MOL005340","TCMol22496","(3S,5R,6S,8R,9R,10R,12R,13R,14R,17S)-17-[(2R)-2-hydroxy-6-methylhept-5-en-2-yl]-4,4,8,10,14-pentamethyl-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthrene-3,6,12-triol","20.1270441847","476.820","0.77985","9847853","SHCBCKBYTHZQGZ-DLHMIPLTSA-N","20(R)-Protopanaxatriol;Protopanaxatriol","Protopanaxatriol","CC(=CCCC(C)(C1CCC2(C1C(CC3C2(CC(C4C3(CCC(C4(C)C)O)C)O)C)O)C)O)C",5.9,"Lipids and lipid-like molecules","Prenol lipids","Triterpenoids","C20716",NA,NA,"C30H52O4","(3S,5R,6S,8R,9R,10R,12R,13R,14R,17S)-17-[(2R)-2-hydroxy-6-methylhept-5-en-2-yl]-4,4,8,10,14-pentamethyl-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthrene-3,6,12-triol","HOXA10;VDR;PPARG"
"(3s,5r,6s,8r,9r,10r,12r,13r,14r,17s)-17-[(2s)-2-hydroxy-6-methylhept-5-en-2-yl]-4,4,8,10,14-pentamethyl-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1h-cyclopenta[a]phenanthrene-3,6,12-triol","Panax Ginseng C. A. Mey.","人参","Renshen","MOL005284","TCMol22440","(3S,5R,6S,8R,9R,10R,12R,13R,14R,17S)-17-[(2S)-2-hydroxy-6-methylhept-5-en-2-yl]-4,4,8,10,14-pentamethyl-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthrene-3,6,12-triol","20.1270441847","476.820","0.77961","11468733","SHCBCKBYTHZQGZ-CJPZEJHVSA-N","(20S)-Protopanaxatriol;Protopanaxatriol","(20S)-Protopanaxatriol","CC(=CCCC(C)(C1CCC2(C1C(CC3C2(CC(C4C3(CCC(C4(C)C)O)C)O)C)O)C)O)C",5.9,"Lipids and lipid-like molecules","Prenol lipids","Triterpenoids","C20716",NA,NA,"C30H52O4","(3S,5R,6S,8R,9R,10R,12R,13R,14R,17S)-17-[(2S)-2-hydroxy-6-methylhept-5-en-2-yl]-4,4,8,10,14-pentamethyl-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthrene-3,6,12-triol","HOXA10;VDR"
"(3s,5r,8r,9r,10r,12r,13r,14r,17s)-17-[(2s)-2-hydroxy-6-methylhept-5-en-2-yl]-4,4,8,10,14-pentamethyl-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1h-cyclopenta[a]phenanthrene-3,12-diol","Panax Ginseng C. A. Mey.","人参","Renshen","MOL005334","TCMol22490","(3S,5R,8R,9R,10R,12R,13R,14R,17S)-17-[(2S)-2-hydroxy-6-methylhept-5-en-2-yl]-4,4,8,10,14-pentamethyl-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthrene-3,12-diol","29.692037474","460.820","0.77048","11213350","PYXFVCFISTUSOO-HKUCOEKDSA-N","(20S)-Protopanaxadiol;20(s)-protopanaxadiol;20(S)-Protopanaxadiol;Protopanaxadiol","(20S)-Protopanaxadiol","CC(=CCCC(C)(C1CCC2(C1C(CC3C2(CCC4C3(CCC(C4(C)C)O)C)C)O)C)O)C",7.2,"Lipids and lipid-like molecules","Prenol lipids","Triterpenoids","C20715",NA,NA,"C30H52O3","(3S,5R,8R,9R,10R,12R,13R,14R,17S)-17-[(2S)-2-hydroxy-6-methylhept-5-en-2-yl]-4,4,8,10,14-pentamethyl-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthrene-3,12-diol","MMP2;NOS2;HOXA10;VDR;Soat1;ESR1;PTPN1"
