"compound.lower","herb_en_name","herb_cn_name","herb_pinyin","Mol.ID","Mol.ID2","Compound.EN","OB...","MW","DL","CID","InChIKey","Name","Bestname","CanonicalSMILES","XLogP","superclass","class","subclass","KEGGID","Keggid","HMDBID","MolecularFormula","Synonym.separate","entrez_gene_symbol"
"2,5-dimethoxybenzoquinone","Fritillariae Thunbrgii Bulbus","浙贝母","Zhebeimu","MOL003171","TCMol32012","2,5-Dimethoxybenzoquinone","8.72143603652","168.160","0.041233","101405","RMMPZDDLWLALLJ-UHFFFAOYSA-N","2,5-Dimethoxy-p-benzoquinone;2,5-Dimethoxybenzoquinone;2,5-dimethoxycyclohexa-2,5-diene-1,4-dione","98%","COC1=CC(=O)C(=CC1=O)OC",-0.1,NA,NA,NA,"C01692","C01692","HMDB0034335",NA,"2,5-Dimethoxybenzoquinone",NA
"2,5-dimethoxybenzoquinone","Fritillariae Thunbrgii Bulbus","浙贝母","Zhebeimu","MOL003171","TCMol32012","2,5-Dimethoxybenzoquinone","8.72143603652","168.160","0.041233","101405","RMMPZDDLWLALLJ-UHFFFAOYSA-N","2,5-Dimethoxy-p-benzoquinone;2,5-Dimethoxybenzoquinone;2,5-dimethoxycyclohexa-2,5-diene-1,4-dione","98%","COC1=CC(=O)C(=CC1=O)OC",-0.1,NA,NA,NA,"C01692","C01692","HMDB0034335",NA," 2,5-Dimethoxybenzoquinone",NA
"6-methoxyl-2-acetyl-3-methyl-1,4-naphthoquinone-8-o-beta-d-glucopyranoside","Fritillariae Thunbrgii Bulbus","浙贝母","Zhebeimu","MOL004446","TCMol32020","6-Methoxyl-2-acetyl-3-methyl-1,4-naphthoquinone-8-O-beta-D-glucopyranoside","33.3073438093","422.420","0.57257",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6-methoxyl-2-acetyl-3-methyl-1,4-naphthoquinone-8-o-beta-d-glucopyranoside_qt","Fritillariae Thunbrgii Bulbus","浙贝母","Zhebeimu","MOL004447","TCMol32021","6-Methoxyl-2-acetyl-3-methyl-1,4-naphthoquinone-8-O-beta-D-glucopyranoside_qt","19.8705551162","260.260","0.15427",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"beta-sitosterol","Fritillariae Thunbrgii Bulbus","浙贝母","Zhebeimu","MOL000358","TCMol32013","beta-sitosterol","36.9139058327","414.790","0.75123","222284","KZJWDPNRJALLNS-VJSFXXLFSA-N","(1S,2R,5S,10S,11S,14R,15R)-14-[(2R,5R)-5-ethyl-6-methylheptan-2-yl]-2,15-dimethyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadec-7-en-5-ol;(3beta)-stigmast-5-en-3-ol;beta-sitosterol;beta-Sitosterol;Beta-sitosterol;Beta-Sitosterol;phytosterol;sitosterol;Sitosterol;Sobatum","Harzol","CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C",9.3,NA,NA,NA,"C01753;D08518",NA,NA,"C29H50O","Beta-Sitosterol","TGFB1;CASP8;BAX;MAP2;EDN1;PRKCA;CASP9;BCL2;CASP3;PRKAA2;SIGMAR1;CACNG3;CACNG2;GRIN3A;GRIN3B;CYP27B1;ESR1;ESR2;GABRA1;GABRA2;GABRA3;GABRA4;GABRA5;GABRA6;GABRB1;GABRB2;GABRB3;GABRD;GABRE;GABRG1;GABRG2;GABRG3;GABRP;CLEC4E;CACNG5;CACNG4;GRIN1;GRIN2A;GRIN2B;GRIN2C;GRIN2D;AR;PPARA;CACNA2D3;GABRQ;CACNG8;CACNG7;CACNG6;RORA;RXRA;SULT2B1;THRB;VDR;CACNA1A;CACNA1B;CACNA1C;CACNA1D;CACNA1E;CACNA1F;CACNA1S;CACNA2D1;CACNB1;CACNB2;CACNB3;CACNB4;CACNG1;NR1I2;CACNA1I;CACNA1H;CACNA1G;CACNA2D2;CACNA2D4;NR1I3;F2;POLB;CYP3A4;CYP2D6"
"beta-sitosterol","Fritillariae Thunbrgii Bulbus","浙贝母","Zhebeimu","MOL000358","TCMol32013","beta-sitosterol","36.9139058327","414.790","0.75123","222284","KZJWDPNRJALLNS-VJSFXXLFSA-N","(1S,2R,5S,10S,11S,14R,15R)-14-[(2R,5R)-5-ethyl-6-methylheptan-2-yl]-2,15-dimethyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadec-7-en-5-ol;(3beta)-stigmast-5-en-3-ol;beta-sitosterol;beta-Sitosterol;Beta-sitosterol;Beta-Sitosterol;phytosterol;sitosterol;Sitosterol;Sobatum","Harzol","CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C",9.3,NA,NA,NA,"C01753;D08518",NA,NA,"C29H50O","BETA-SITOSTEROL","TGFB1;CASP8;BAX;MAP2;EDN1;PRKCA;CASP9;BCL2;CASP3;PRKAA2;SIGMAR1;CACNG3;CACNG2;GRIN3A;GRIN3B;CYP27B1;ESR1;ESR2;GABRA1;GABRA2;GABRA3;GABRA4;GABRA5;GABRA6;GABRB1;GABRB2;GABRB3;GABRD;GABRE;GABRG1;GABRG2;GABRG3;GABRP;CLEC4E;CACNG5;CACNG4;GRIN1;GRIN2A;GRIN2B;GRIN2C;GRIN2D;AR;PPARA;CACNA2D3;GABRQ;CACNG8;CACNG7;CACNG6;RORA;RXRA;SULT2B1;THRB;VDR;CACNA1A;CACNA1B;CACNA1C;CACNA1D;CACNA1E;CACNA1F;CACNA1S;CACNA2D1;CACNB1;CACNB2;CACNB3;CACNB4;CACNG1;NR1I2;CACNA1I;CACNA1H;CACNA1G;CACNA2D2;CACNA2D4;NR1I3;F2;POLB;CYP3A4;CYP2D6"
"beta-sitosterol","Fritillariae Thunbrgii Bulbus","浙贝母","Zhebeimu","MOL000358","TCMol32013","beta-sitosterol","36.9139058327","414.790","0.75123","222284","KZJWDPNRJALLNS-VJSFXXLFSA-N","(1S,2R,5S,10S,11S,14R,15R)-14-[(2R,5R)-5-ethyl-6-methylheptan-2-yl]-2,15-dimethyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadec-7-en-5-ol;(3beta)-stigmast-5-en-3-ol;beta-sitosterol;beta-Sitosterol;Beta-sitosterol;Beta-Sitosterol;phytosterol;sitosterol;Sitosterol;Sobatum","Harzol","CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C",9.3,NA,NA,NA,"C01753;D08518",NA,NA,"C29H50O","Beta-sitosterol","TGFB1;CASP8;BAX;MAP2;EDN1;PRKCA;CASP9;BCL2;CASP3;PRKAA2;SIGMAR1;CACNG3;CACNG2;GRIN3A;GRIN3B;CYP27B1;ESR1;ESR2;GABRA1;GABRA2;GABRA3;GABRA4;GABRA5;GABRA6;GABRB1;GABRB2;GABRB3;GABRD;GABRE;GABRG1;GABRG2;GABRG3;GABRP;CLEC4E;CACNG5;CACNG4;GRIN1;GRIN2A;GRIN2B;GRIN2C;GRIN2D;AR;PPARA;CACNA2D3;GABRQ;CACNG8;CACNG7;CACNG6;RORA;RXRA;SULT2B1;THRB;VDR;CACNA1A;CACNA1B;CACNA1C;CACNA1D;CACNA1E;CACNA1F;CACNA1S;CACNA2D1;CACNB1;CACNB2;CACNB3;CACNB4;CACNG1;NR1I2;CACNA1I;CACNA1H;CACNA1G;CACNA2D2;CACNA2D4;NR1I3;F2;POLB;CYP3A4;CYP2D6"
"beta-sitosterol","Fritillariae Thunbrgii Bulbus","浙贝母","Zhebeimu","MOL000358","TCMol32013","beta-sitosterol","36.9139058327","414.790","0.75123","222284","KZJWDPNRJALLNS-VJSFXXLFSA-N","(1S,2R,5S,10S,11S,14R,15R)-14-[(2R,5R)-5-ethyl-6-methylheptan-2-yl]-2,15-dimethyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadec-7-en-5-ol;(3beta)-stigmast-5-en-3-ol;beta-sitosterol;beta-Sitosterol;Beta-sitosterol;Beta-Sitosterol;phytosterol;sitosterol;Sitosterol;Sobatum","Harzol","CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C",9.3,NA,NA,NA,"C01753;D08518",NA,NA,"C29H50O","beta-Sitosterol","TGFB1;CASP8;BAX;MAP2;EDN1;PRKCA;CASP9;BCL2;CASP3;PRKAA2;SIGMAR1;CACNG3;CACNG2;GRIN3A;GRIN3B;CYP27B1;ESR1;ESR2;GABRA1;GABRA2;GABRA3;GABRA4;GABRA5;GABRA6;GABRB1;GABRB2;GABRB3;GABRD;GABRE;GABRG1;GABRG2;GABRG3;GABRP;CLEC4E;CACNG5;CACNG4;GRIN1;GRIN2A;GRIN2B;GRIN2C;GRIN2D;AR;PPARA;CACNA2D3;GABRQ;CACNG8;CACNG7;CACNG6;RORA;RXRA;SULT2B1;THRB;VDR;CACNA1A;CACNA1B;CACNA1C;CACNA1D;CACNA1E;CACNA1F;CACNA1S;CACNA2D1;CACNB1;CACNB2;CACNB3;CACNB4;CACNG1;NR1I2;CACNA1I;CACNA1H;CACNA1G;CACNA2D2;CACNA2D4;NR1I3;F2;POLB;CYP3A4;CYP2D6"
"beta-sitosterol","Fritillariae Thunbrgii Bulbus","浙贝母","Zhebeimu","MOL000358","TCMol32013","beta-sitosterol","36.9139058327","414.790","0.75123","222284","KZJWDPNRJALLNS-VJSFXXLFSA-N","(1S,2R,5S,10S,11S,14R,15R)-14-[(2R,5R)-5-ethyl-6-methylheptan-2-yl]-2,15-dimethyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadec-7-en-5-ol;(3beta)-stigmast-5-en-3-ol;beta-sitosterol;beta-Sitosterol;Beta-sitosterol;Beta-Sitosterol;phytosterol;sitosterol;Sitosterol;Sobatum","Harzol","CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C",9.3,NA,NA,NA,"C01753;D08518",NA,NA,"C29H50O","beta-sitosterol","TGFB1;CASP8;BAX;MAP2;EDN1;PRKCA;CASP9;BCL2;CASP3;PRKAA2;SIGMAR1;CACNG3;CACNG2;GRIN3A;GRIN3B;CYP27B1;ESR1;ESR2;GABRA1;GABRA2;GABRA3;GABRA4;GABRA5;GABRA6;GABRB1;GABRB2;GABRB3;GABRD;GABRE;GABRG1;GABRG2;GABRG3;GABRP;CLEC4E;CACNG5;CACNG4;GRIN1;GRIN2A;GRIN2B;GRIN2C;GRIN2D;AR;PPARA;CACNA2D3;GABRQ;CACNG8;CACNG7;CACNG6;RORA;RXRA;SULT2B1;THRB;VDR;CACNA1A;CACNA1B;CACNA1C;CACNA1D;CACNA1E;CACNA1F;CACNA1S;CACNA2D1;CACNB1;CACNB2;CACNB3;CACNB4;CACNG1;NR1I2;CACNA1I;CACNA1H;CACNA1G;CACNA2D2;CACNA2D4;NR1I3;F2;POLB;CYP3A4;CYP2D6"
"chaksine","Fritillariae Thunbrgii Bulbus","浙贝母","Zhebeimu","MOL004450","TCMol32024","Chaksine","65.63417036","450.660","0.66463","135438603","CGGAHJGHSHWGLE-WJQMWINMSA-N","Chaksine","Chaksine","CC1CCCC(C(=O)OCC(CCCC(C(=O)OC1)C2CNC(=N2)N)C)C3CNC(=N3)N",0.7,NA,NA,NA,"C09940",NA,NA,NA,"Chaksine","CHRM1;CHRM2;CHRM3;CHRM4"
