"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Type"
"BP","GO:0009410","response to xenobiotic stimulus","203/1582","444/18888",0.457207207207207,5.45874192776848,28.7450219373438,2.85637485328735e-101,1.7246791364149e-97,5.47221287682418e-98,"7157/5979/7124/999/1499/1956/4193/1027/5925/595/4609/1026/596/3586/3553/1019/6714/6772/7852/7161/4313/836/5743/4049/5970/4982/4780/3320/545/1385/4843/5111/5243/4363/1277/9370/6868/1906/6648/1869/7057/4067/6198/2353/25/2950/7298/632/1636/811/2944/7037/5972/6647/983/100/1312/1392/3172/7150/768/1728/3066/1576/7054/1545/196/1147/7515/1565/3690/1543/19/578/2185/847/6622/6720/4824/8678/6609/4129/706/3932/6817/10257/4860/6530/6716/5579/1536/1813/6532/5141/5562/952/1548/2572/3651/3767/6531/10628/7345/476/54658/2903/6095/5563/135/8061/10599/8647/6579/1544/6507/1244/1503/5447/1571/8856/2876/2621/5021/4842/4837/6097/590/210/1374/7172/3356/5027/9474/2355/3297/1559/445/2890/6554/1557/2235/6822/4025/790/1555/6715/123/8714/1577/2947/10014/11309/2902/7804/2030/336/3757/2203/7369/1558/5139/6506/28234/6338/54578/2938/218/54600/107/79147/873/10057/2730/1812/57468/5009/7364/3351/6505/5142/54659/2729/5198/1393/1814/2946/63826/1592/8824/79001/32/316/64241/29785/64240/2180/18/10249/2939/9992/56603/1429/1564",203,"XYT"
"BP","GO:0010038","response to metal ion","155/1582","360/18888",0.430555555555556,5.14053940160135,23.981717412212,2.49052221822117e-72,7.51888657680972e-69,2.38565812482239e-69,"3815/207/999/1956/7015/4193/1027/596/3091/841/5594/4318/836/5743/3725/4982/3552/846/4780/5595/857/1385/142/6469/5111/5599/1906/6648/842/7057/8074/7412/2353/632/811/7037/3766/983/2539/7474/7018/9076/1728/9451/7054/1050/3162/1147/1543/2185/847/6622/54106/4137/8678/120892/7351/6609/4129/706/6279/11315/1536/1813/5562/5601/4017/1584/3651/6531/10628/3727/468/1965/5563/4204/5515/929/1544/6261/2167/8644/540/57817/8754/210/1585/358/2395/8912/653361/4502/5027/9474/10165/3297/23621/445/2890/3292/3726/246/2235/2931/6857/360/1742/5313/4495/3710/6898/2203/2243/801/10016/10243/3778/6331/3795/4048/808/805/4489/5066/6558/4493/5516/845/107/2937/7390/4891/3736/4494/4504/5009/2244/7036/10105/140576/6505/241/2729/1393/8904/10768/5359/8604/15/4501/4496/553115/18/56670/5025",155,"XYT"
"BP","GO:0031667","response to nutrient levels","180/1582","490/18888",0.36734693877551,4.3858716685157,22.9598795955026,7.94393973431229e-71,1.59885027052592e-67,5.07297204085908e-68,"7157/7124/207/1956/4193/355/1026/596/1030/5468/2475/6714/6772/5594/3480/213/581/5743/4049/5970/1387/4982/3552/846/3952/5443/4780/5914/5595/6513/1432/6696/3627/348/1277/9370/5599/6935/7421/6648/6256/8074/7412/6198/2353/23411/8648/7298/632/4353/8140/3309/6667/1636/7037/2875/1312/2539/1728/64127/9451/6591/4852/3949/1513/5465/1649/7494/7299/7054/1545/10891/1543/19/9971/9839/847/6720/7350/8678/10631/120892/5467/6257/1594/7351/154/4023/706/6566/5292/5076/6559/4217/6716/5579/1536/51085/6532/5562/1386/3651/317/659/54658/2752/468/5610/1965/5563/467/59341/3358/3178/5106/7942/2876/2621/8644/7442/7534/590/5105/210/155/1374/7352/22933/1268/7019/9474/3297/1981/445/6554/5564/790/6715/123/360/2155/5313/717/5166/10533/81631/9388/249/51422/153/2/2203/9227/23408/440/6338/5337/38/8854/10038/2730/4504/5009/435/3992/2729/56923/5571/8565/1592/54407/32/64241/64240/2180/27102/5565/3360/3141/56603",180,"XYT"
"BP","GO:0097305","response to alcohol","126/1582","259/18888",0.486486486486487,5.80831653398025,23.5577896990744,1.73191428359162e-66,2.61432461108154e-63,8.29495788457037e-64,"7124/207/672/999/1499/6528/4193/1026/7040/1019/841/2263/3558/3480/6608/50943/3952/5914/598/5888/5788/1385/142/1440/4087/9370/6648/7292/7412/4615/6198/2353/3596/7298/632/1080/1636/6647/983/1312/1392/2539/329/9076/1728/1513/5465/3066/7054/1545/196/3728/19/578/2185/847/6720/7350/10013/4129/706/6279/5737/6559/5579/1536/1813/6446/6517/5562/5581/6531/54658/2903/2534/5563/31/8061/8647/929/5423/6869/2806/8644/3284/1621/9353/5105/3283/210/1374/2904/1268/4988/6337/4747/2720/10365/1981/6554/1605/2235/790/2550/1815/2155/2902/6340/7804/2/2203/1066/6338/7284/7122/107/5729/79147/116443/1646/3351/3709/1393/15/4986/18",126,"XYT"
"BP","GO:0070482","response to oxygen levels","147/1582","354/18888",0.415254237288136,4.95785210739463,22.7280927841437,5.25596887110473e-66,6.34710800874607e-63,2.01386596745486e-63,"7157/472/7124/207/7015/4193/1027/355/4609/1026/406991/596/7040/5468/2475/3091/7422/6714/2263/7852/406937/4313/836/4851/5743/4049/406913/1387/3552/846/3952/4780/6513/857/4843/7097/1277/4088/9370/6868/1906/6648/842/7057/7412/5328/2353/23411/5291/7042/7291/5327/8140/1803/2023/1636/7037/100/1312/1958/4921/329/768/890/5465/650/3066/7054/3162/7515/1543/54583/2185/9839/847/5034/4824/8678/10631/5467/1909/7351/5228/572/11331/1536/1813/6532/5664/6517/112398/4929/5562/1386/4017/952/5581/3767/317/112399/5163/468/6095/3099/4204/59341/3654/5423/6261/6548/5021/4842/5105/210/1374/358/7352/22933/7019/65018/2355/3297/3708/859/360/2155/5313/10533/5351/2030/212/27035/1139/3778/54890/134/5352/5740/10038/4504/6505/3709/114757/3751/3776/18/2977",147,"XYT"
"BP","GO:0036293","response to decreased oxygen levels","138/1582","327/18888",0.422018348623853,5.03861097901855,22.2736603371502,5.16873646959239e-63,5.20147180056647e-60,1.65036848678213e-60,"7157/472/7124/207/7015/4193/1027/4609/406991/596/7040/5468/2475/3091/7422/6714/2263/7852/406937/4313/836/4851/5743/4049/406913/1387/3552/846/3952/4780/6513/857/4843/7097/4088/9370/6868/1906/6648/842/7057/7412/5328/2353/23411/5291/7042/7291/5327/1803/2023/1636/7037/100/1312/1958/4921/329/768/890/5465/650/7054/3162/7515/1543/54583/2185/9839/847/5034/4824/8678/10631/5467/1909/7351/5228/572/11331/1536/1813/6532/5664/6517/112398/4929/5562/1386/4017/952/5581/3767/317/112399/5163/468/6095/3099/4204/59341/3654/6261/6548/5021/4842/5105/210/1374/358/7352/22933/7019/65018/2355/3297/3708/859/360/2155/5313/5351/2030/212/1139/3778/54890/134/5352/5740/10038/4504/6505/3709/114757/3751/3776/18",138,"XYT"
"BP","GO:0001666","response to hypoxia","133/1582","313/18888",0.424920127795527,5.07325624134129,21.9702940349193,3.64787625843078e-61,3.14655383548643e-58,9.98366133886317e-59,"7157/472/7124/7015/4193/1027/4609/406991/596/7040/5468/2475/3091/7422/6714/2263/7852/406937/4313/836/4851/5743/4049/406913/1387/3552/846/3952/4780/6513/857/4843/7097/4088/9370/6868/1906/6648/842/7057/7412/5328/2353/23411/5291/7042/7291/5327/1803/2023/1636/7037/100/1312/1958/4921/329/768/890/5465/650/7054/3162/7515/1543/54583/2185/847/5034/4824/8678/10631/5467/1909/7351/5228/572/11331/1536/1813/6532/5664/6517/112398/4929/5562/1386/4017/952/5581/3767/317/112399/5163/468/6095/3099/4204/59341/3654/6261/6548/4842/5105/210/1374/358/7352/22933/7019/65018/2355/3297/3708/859/360/2155/5313/5351/2030/212/1139/3778/54890/134/5352/5740/4504/3709/114757/3751/3776/18",133,"XYT"
"BP","GO:0006979","response to oxidative stress","149/1582","398/18888",0.374371859296482,4.4697444237623,21.1522683224905,9.36020563074103e-60,7.06461519980179e-57,2.24152292736167e-57,"7157/472/7173/207/5156/1956/4193/50506/4233/3569/406991/596/3091/6714/6772/5594/4318/4313/836/2146/5743/3725/3082/5970/3552/3717/4780/5595/9817/695/142/558/5111/348/4363/1277/9370/5599/5580/1906/6648/2353/23411/25/2950/4353/6667/4314/1612/948/351/6647/983/1312/406921/2539/4921/1728/6416/4846/1719/3066/1545/3162/1147/10891/7515/5742/578/2185/847/6622/4137/7350/8678/120892/1909/10013/7351/7295/2936/5052/11315/5076/3043/3240/4217/5663/8877/240/3373/4929/5562/5601/1386/3848/952/10628/468/1965/2534/5563/8061/7155/8647/5598/6869/2879/2876/2081/8754/210/358/7352/2395/22933/653361/5893/3039/65018/10365/3297/23657/3040/6278/1398/4025/5478/1827/11168/81502/347/6898/5693/5516/2937/337/2730/4504/10105/10550/6505/2729/114757/2110/475/4257/59338/79661",149,"XYT"
"BP","GO:0003018","vascular process in circulatory system","123/1582","275/18888",0.447272727272727,5.34013101942305,21.9203446617525,1.18497599654599e-59,7.94987229682744e-57,2.52240504527919e-57,"7124/1956/6528/406991/7040/7422/6714/796/4313/5743/3630/846/3952/1401/3643/6513/857/5243/348/4363/1906/6648/25/8140/1636/7037/948/6647/4846/7082/9429/3953/4879/9839/3579/1909/154/4878/6566/3827/3043/10257/59272/2852/59/6532/6517/100506658/952/183/2149/659/23428/135/59341/3676/6507/185/1244/6869/2150/2876/5021/4842/1621/9353/155/3356/3350/9474/10365/7525/6510/6523/8714/11309/554/2171/2030/153/624/3274/186/5139/2243/6506/3778/1131/2166/6338/5138/6558/134/4881/7122/482/10057/136/6542/147/566/2730/3177/1812/480/6582/3269/2244/3351/6505/2729/9376/6509/477/152/81539/3352/54407/6541/6546/6543/146/151",123,"XYT"
"BP","GO:1901654","response to ketone","109/1582","217/18888",0.502304147465438,5.99716860766573,22.3849671073721,2.19649654953335e-59,1.32624461660823e-56,4.20802496857968e-57,"5290/207/1956/6528/1026/7040/367/1019/6714/3480/50943/5970/3717/598/8313/2908/5788/10413/6696/857/1385/142/7097/5111/1906/7292/842/7057/6198/2353/23411/8648/7298/7042/632/1080/6667/1636/811/10499/1312/1392/9076/768/1728/7054/1545/196/6720/7350/4824/10631/10013/7351/1977/4129/706/11315/5737/6559/6716/4507/1536/6446/5562/1364/952/5581/3767/10628/5563/2002/31/8061/6869/5106/2621/5021/8644/3284/9353/5105/3283/358/7352/653361/5724/6337/4747/2720/10062/10365/3297/3206/445/2235/790/6715/2155/6340/6898/2/2203/6338/107/5729/1646/15/2560",109,"XYT"
