"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Type"
"BP","GO:0006816","calcium ion transport","27/78","428/18888",0.0630841121495327,15.2760603882099,19.2375076817807,4.01407850123456e-25,6.36506965196003e-22,3.67438991925591e-22,"596/581/7421/1906/2147/1594/2903/2904/8912/773/779/2902/776/775/777/116443/2906/774/55799/9254/783/785/116444/784/8911/782/93589",27,"ZBM"
"BP","GO:0070588","calcium ion transmembrane transport","25/78","334/18888",0.0748502994011976,18.1252878857669,20.3341831985473,4.59903876586708e-25,6.36506965196003e-22,3.67438991925591e-22,"596/581/1906/2147/2903/2904/8912/773/779/2902/776/775/777/116443/2906/774/55799/9254/783/785/116444/784/8911/782/93589",25,"ZBM"
"BP","GO:0042391","regulation of membrane potential","22/78","446/18888",0.0493273542600897,11.944808554674,15.0628094998715,4.06150420840727e-18,3.74741454962378e-15,2.16328539942535e-15,"596/581/1906/2903/2561/2904/8912/2902/776/2563/775/2556/116443/2906/783/785/116444/2558/784/8911/55879/2560",22,"ZBM"
"BP","GO:0097553","calcium ion transmembrane import into cytosol","16/78","187/18888",0.0855614973262032,20.7190456602221,17.4505321221495,4.47987961747362e-17,3.10007669529175e-14,1.78959401561183e-14,"596/581/2147/2903/2904/8912/773/779/2902/776/775/777/2906/774/784/8911",16,"ZBM"
"BP","GO:0009410","response to xenobiotic stimulus","18/78","444/18888",0.0405405405405405,9.81704781704782,12.1065811685002,1.98503471533933e-13,1.09891521841185e-10,6.34375304817917e-11,"596/836/1906/1728/3066/1576/1565/1543/952/2903/6095/5563/1571/8856/2902/873/79001/1429",18,"ZBM"
"BP","GO:1990806","ligand-gated ion channel signaling pathway","8/78","31/18888",0.258064516129032,62.4913151364764,22.0644304600563,4.27358405387482e-13,1.97154677685425e-10,1.13812291118982e-10,"2147/2903/2904/2902/1131/116443/2906/116444",8,"ZBM"
"BP","GO:0071466","cellular response to xenobiotic stimulus","13/78","194/18888",0.0670103092783505,16.2268041237113,13.7275457752856,1.16198802724881e-12,4.59483265632101e-10,2.65247793287774e-10,"1906/1728/1576/1565/1543/6095/5563/1571/8856/2902/873/79001/1429",13,"ZBM"
"BP","GO:0006805","xenobiotic metabolic process","11/78","126/18888",0.0873015873015873,21.1404151404151,14.6065792239486,3.98231235660177e-12,1.37788007538421e-09,7.95414494384407e-10,"1728/1576/1565/1543/6095/1571/8856/2902/873/79001/1429",11,"ZBM"
"BP","GO:0098703","calcium ion import across plasma membrane","8/78","42/18888",0.19047619047619,46.1245421245421,18.8522093435553,6.16603091299167e-12,1.7067573567161e-09,9.85266834307512e-10,"8912/773/779/776/775/777/774/8911",8,"ZBM"
"BP","GO:1902656","calcium ion import into cytosol","8/78","42/18888",0.19047619047619,46.1245421245421,18.8522093435553,6.16603091299167e-12,1.7067573567161e-09,9.85266834307512e-10,"8912/773/779/776/775/777/774/8911",8,"ZBM"
"BP","GO:0048545","response to steroid hormone","15/78","338/18888",0.0443786982248521,10.7464724624488,11.6430897973986,7.15223996098179e-12,1.79976365563614e-09,1.03895696275314e-09,"2099/596/7040/367/2100/836/1906/3065/6256/842/5465/10013/952/8644/2560",15,"ZBM"
"BP","GO:0060078","regulation of postsynaptic membrane potential","11/78","148/18888",0.0743243243243243,17.997920997921,13.3683025089062,2.33034910053349e-11,5.37533859189726e-09,3.10304380228934e-09,"2903/2561/2904/2902/2563/2556/116443/2906/116444/2558/2560",11,"ZBM"
"BP","GO:1904062","regulation of monoatomic cation transmembrane transport","14/78","309/18888",0.0453074433656958,10.9713716704008,11.3803958975436,2.93143290187803e-11,6.24169713261415e-09,3.60317015793591e-09,"596/581/1906/2147/2903/2904/2902/776/775/2906/783/785/784/782",14,"ZBM"
"BP","GO:0097305","response to alcohol","13/78","259/18888",0.0501930501930502,12.1544401544402,11.6395792648292,4.4789912519125e-11,8.85560556092415e-09,5.11211181985202e-09,"7040/841/1728/5465/3066/10013/2903/5563/5423/8644/2904/2902/116443",13,"ZBM"
"BP","GO:0070509","calcium ion import","9/78","83/18888",0.108433734939759,26.2576459684893,14.8501090403756,5.58092610526182e-11,1.02986689729098e-08,5.94515496686838e-09,"8912/773/779/776/775/777/774/783/8911",9,"ZBM"
"BP","GO:0034762","regulation of transmembrane transport","16/78","489/18888",0.032719836400818,7.9232342299827,9.98851068888053,1.25453704950357e-10,2.17034909564117e-08,1.25288634285948e-08,"596/581/1906/1612/2147/2903/2904/2902/776/775/1131/2906/783/785/784/782",16,"ZBM"
"BP","GO:0034765","regulation of monoatomic ion transmembrane transport","14/78","349/18888",0.0401146131805158,9.71390786863566,10.5807613476982,1.46764826756401e-10,2.38967670859835e-08,1.37949849545645e-08,"596/581/1906/2147/2903/2904/2902/776/775/2906/783/785/784/782",14,"ZBM"
"BP","GO:0035235","ionotropic glutamate receptor signaling pathway","6/78","22/18888",0.272727272727273,66.041958041958,19.6561938264743,2.88611516950865e-10,4.43820377177774e-08,2.56206013293224e-08,"2903/2904/2902/116443/2906/116444",6,"ZBM"
"BP","GO:0030522","intracellular receptor signaling pathway","14/78","369/18888",0.037940379403794,9.1874087971649,10.2278720457308,3.04697215516861e-10,4.43895732921406e-08,2.56249514213072e-08,"7068/2099/367/2100/7421/3065/6256/5465/10013/1594/6095/8856/8644/9970",14,"ZBM"
"BP","GO:1904019","epithelial cell apoptotic process","10/78","147/18888",0.0680272108843537,16.473050758765,12.1275376340198,4.79518131186537e-10,6.63653093562167e-08,3.83109749021665e-08,"2099/596/7040/581/836/5054/842/5465/5563/8644",10,"ZBM"
"BP","GO:0043269","regulation of monoatomic ion transport","15/78","470/18888",0.0319148936170213,7.72831423895254,9.51192363411228,7.22339117244449e-10,9.52111750729825e-08,5.49629463647656e-08,"596/581/1906/2147/2903/2904/2902/776/775/2906/783/785/116444/784/782",15,"ZBM"
"BP","GO:0008202","steroid metabolic process","13/78","329/18888",0.0395136778115502,9.56838905775076,10.0961137440808,8.55536398602531e-10,1.07642034151446e-07,6.2138959477447e-08,"2099/1576/1565/1543/1594/6095/5563/1571/8856/8644/8912/873/6820",13,"ZBM"
"BP","GO:0032104","regulation of response to extracellular stimulus","6/78","28/18888",0.214285714285714,51.8901098901099,17.3530554237414,1.42893921682699e-09,1.64804323007379e-07,9.51372689097967e-08,"596/581/7421/6256/5465/1594",6,"ZBM"
