"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Type"
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","116/1346","216/8859",0.537037037037037,3.53462935446591,15.9622001770014,1.33576488602339e-40,4.47481236817835e-38,1.32170420301261e-38,"7157/5290/3845/7124/207/3569/355/6774/596/5468/356/3553/6714/8743/841/4790/5594/3576/4318/581/836/5295/8795/3725/3383/5970/3717/6347/4792/4780/598/959/2932/3320/5747/5595/7099/1432/7186/7097/5599/5293/6648/4312/6256/5578/842/3456/7412/4615/5879/4067/2353/5291/3309/3551/4314/54205/6401/948/5602/114548/3308/6416/9451/4846/3949/1649/7494/1147/2919/335/1543/19/834/338/840/4772/6257/6403/572/3326/3329/4217/1536/29110/5601/1548/317/22926/468/1535/1965/6258/3654/929/2081/653361/3708/818/1559/2920/1555/5609/7436/1558/27035/801/808/805/23643/10333/337/4973/815/816",116,"XYT"
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","82/1346","141/8859",0.581560283687943,3.82766905883469,14.3256183590207,3.03168819128788e-32,5.0780777204072e-30,1.49988784200558e-30,"7157/5290/7124/207/1499/3458/596/7422/3553/6714/4790/4318/3791/4313/5295/3725/3383/5970/3552/6347/4780/3320/5747/9817/1432/857/5599/5293/60/1906/7412/5879/2353/2950/5291/5327/3551/7056/2944/6401/5602/1728/6416/2952/4846/1514/652/3685/3162/1147/3690/5175/7295/3326/4217/5562/5601/5154/5590/659/1535/1843/5563/59341/5598/653361/10365/445/859/5607/2947/5609/71/27035/801/808/805/2938/2946/4257/2939/653689",82,"XYT"
"Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","63/1346","98/8859",0.642857142857143,4.23110804500106,13.6135487786724,1.60092277812282e-28,1.78769710223714e-26,5.28023653135244e-27,"7157/5728/5290/3845/207/5156/1499/1956/4193/2064/1027/5925/595/1026/2260/596/2475/367/5604/2263/4790/5594/3479/5894/3480/4318/1950/5159/5295/3630/5970/1387/4792/2932/3320/5595/1385/1017/898/5605/6935/5293/842/1869/2078/5328/2950/5291/7039/5327/3551/4314/354/51176/1147/4824/6934/572/3326/6716/5154/1870/468",63,"XYT"
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","62/1346","101/8859",0.613861386138614,4.04026598796581,13.0062911306586,1.87510029190021e-26,1.57039649446643e-24,4.63840598522685e-25,"5290/3845/7124/207/1027/595/3569/6774/596/7040/7422/3553/1019/6772/4790/5594/3576/581/4313/836/5295/3725/3383/5970/3552/3717/6347/2335/5595/1432/1277/4087/4088/5599/5580/5293/5054/1906/5578/7412/5879/5291/7042/2152/7056/6777/6401/5602/1958/4846/6776/4772/5292/50507/5579/1536/5601/5590/5581/183/185/27035",62,"XYT"
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","107/1346","254/8859",0.421259842519685,2.77261585801032,12.1322045713651,8.08159457008709e-26,4.55365371992153e-24,1.34499120085664e-24,"5979/5156/1956/2064/4233/2260/2261/7422/2263/2065/7852/3791/1950/5159/2066/3082/2247/2668/4915/4843/2321/2324/5578/8074/2264/7039/4803/4846/2185/4638/1909/4772/154/5737/5579/8877/5154/952/2149/2903/135/3358/6261/185/6869/7942/5021/4842/57105/155/2904/3356/8912/5027/5724/2911/3708/818/773/7416/779/2902/776/153/3710/624/3274/775/801/1139/1131/808/805/777/845/107/444/487/116443/136/147/5137/1812/814/815/3269/10105/2906/774/3709/90550/5136/6870/623/3362/116444/844/816/6546/3360/5025/85366/6543/146/5153/8911/89832",107,"XYT"
"Cellular Processes","Cell growth and death","hsa04210","Apoptosis","73/1346","136/8859",0.536764705882353,3.53283694607115,12.5987490073247,8.15579770732215e-26,4.55365371992153e-24,1.34499120085664e-24,"7157/472/5290/3845/7124/207/355/596/356/8743/5604/841/4790/5594/5894/581/836/5295/8795/3725/5970/4792/332/598/5595/142/7186/5605/5599/1508/5293/60/842/4170/330/331/2353/5291/843/3551/54205/4803/5602/3562/10018/5551/329/1509/9451/1513/1649/1514/1147/578/3002/840/572/4217/9020/835/5601/317/468/1965/2081/1520/1075/3708/4001/71/3710/10038/3709",73,"XYT"
"Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","64/1346","109/8859",0.587155963302752,3.86449827555652,12.736246652315,1.02314603219835e-25,4.89648458266352e-24,1.44625153423526e-24,"5290/207/1956/2064/1027/3569/3458/1026/6774/596/2475/3091/7422/5604/4790/5594/3479/3480/1950/5295/3630/5970/1387/3643/5595/7076/7099/6513/4843/2321/5605/5293/5054/1906/5578/2597/6198/5291/2023/7037/7018/4846/3162/54583/3939/1977/4878/5579/1536/112398/112399/5163/3099/3945/226/5209/818/8569/229/5213/815/2872/80201/816",64,"XYT"
"Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","99/1346","226/8859",0.438053097345133,2.88314442004497,12.1378188147849,1.55410429172436e-25,6.50781172159575e-24,1.92218162397486e-24,"5290/207/5604/4790/5594/5894/5295/3725/5970/1387/5443/4792/627/2735/5595/1385/5605/5599/5293/1906/5879/2353/5291/1080/5602/1392/4852/5465/1909/4772/2740/154/572/4878/10257/2641/5144/1813/5141/5601/2149/476/2903/2892/135/6548/5021/2904/10846/3350/818/2890/779/2550/5338/2902/776/153/5139/775/801/478/808/7137/805/5337/134/4881/482/107/5143/2867/487/481/116443/1812/480/814/815/5501/3351/2906/486/5142/5140/2891/477/3352/483/1259/3362/3776/116444/816/56670/3360/610/2893/3354",99,"XYT"
"Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","94/1346","215/8859",0.437209302325581,2.87759079442966,11.7963180027475,3.26286244724042e-24,1.21450991091727e-22,3.58724058527017e-23,"5290/3845/207/1956/5925/595/2099/4609/6774/596/2475/7422/367/6714/5604/4790/5594/5894/2100/1950/5295/3725/8600/5970/3717/2247/5241/332/3320/5595/1385/5605/5293/7421/6256/5578/1869/331/6198/2353/5291/2944/6777/2952/5465/1576/1545/196/6776/1543/6257/154/572/3326/993/5579/7471/407024/1386/54658/468/409/6258/1544/6195/9970/155/773/779/1555/6197/2947/776/153/27330/775/1139/6196/2053/54578/2938/54600/107/1136/7364/774/54659/2946/54657/4257/55584/2939/89832/653689",94,"XYT"
"Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","79/1346","163/8859",0.484662576687117,3.18991513140503,11.9438679863217,4.88977897576282e-24,1.63807595688055e-22,4.83830761812322e-23,"7157/5290/3845/7124/207/5925/3569/355/4609/1026/6774/596/7040/356/6714/5604/6772/841/4790/5594/5894/3576/4318/581/836/5295/3725/5970/1387/3717/4792/3716/332/5595/7099/1432/1385/1017/7097/5111/898/5605/4088/5599/5293/5578/842/1869/3456/4615/2353/5291/7042/843/3551/54205/6777/5602/3718/890/6416/1147/6776/2185/4772/572/6775/5579/29110/5601/1386/1870/317/468/2002/3654/7534/6554/5609",79,"XYT"
