"vina_results","Model","Path","ligand","receptor"
-8.099,"Model_1","output/Docking_Vina/results_Vina_X131900_3E4E.pdb_ligand_vina_out_score.csv","X131900","3E4E"
-7.72,"Model_2","output/Docking_Vina/results_Vina_X131900_3E4E.pdb_ligand_vina_out_score.csv","X131900","3E4E"
-7.72,"Model_3","output/Docking_Vina/results_Vina_X131900_3E4E.pdb_ligand_vina_out_score.csv","X131900","3E4E"
-7.49,"Model_4","output/Docking_Vina/results_Vina_X131900_3E4E.pdb_ligand_vina_out_score.csv","X131900","3E4E"
-7.442,"Model_5","output/Docking_Vina/results_Vina_X131900_3E4E.pdb_ligand_vina_out_score.csv","X131900","3E4E"
-7.343,"Model_6","output/Docking_Vina/results_Vina_X131900_3E4E.pdb_ligand_vina_out_score.csv","X131900","3E4E"
-7.31,"Model_7","output/Docking_Vina/results_Vina_X131900_3E4E.pdb_ligand_vina_out_score.csv","X131900","3E4E"
-7.281,"Model_8","output/Docking_Vina/results_Vina_X131900_3E4E.pdb_ligand_vina_out_score.csv","X131900","3E4E"
-7.187,"Model_9","output/Docking_Vina/results_Vina_X131900_3E4E.pdb_ligand_vina_out_score.csv","X131900","3E4E"
-8.105,"Model_1","output/Docking_Vina/results_Vina_X131900_3E6I.pdb_ligand_vina_out_score.csv","X131900","3E6I"
-7.919,"Model_2","output/Docking_Vina/results_Vina_X131900_3E6I.pdb_ligand_vina_out_score.csv","X131900","3E6I"
-7.901,"Model_3","output/Docking_Vina/results_Vina_X131900_3E6I.pdb_ligand_vina_out_score.csv","X131900","3E6I"
-7.768,"Model_4","output/Docking_Vina/results_Vina_X131900_3E6I.pdb_ligand_vina_out_score.csv","X131900","3E6I"
-7.752,"Model_5","output/Docking_Vina/results_Vina_X131900_3E6I.pdb_ligand_vina_out_score.csv","X131900","3E6I"
-7.535,"Model_6","output/Docking_Vina/results_Vina_X131900_3E6I.pdb_ligand_vina_out_score.csv","X131900","3E6I"
-7.534,"Model_7","output/Docking_Vina/results_Vina_X131900_3E6I.pdb_ligand_vina_out_score.csv","X131900","3E6I"
-7.455,"Model_8","output/Docking_Vina/results_Vina_X131900_3E6I.pdb_ligand_vina_out_score.csv","X131900","3E6I"
-7.391,"Model_9","output/Docking_Vina/results_Vina_X131900_3E6I.pdb_ligand_vina_out_score.csv","X131900","3E6I"
-8.46,"Model_1","output/Docking_Vina/results_Vina_X131900_3GPH.pdb_ligand_vina_out_score.csv","X131900","3GPH"
-8.264,"Model_2","output/Docking_Vina/results_Vina_X131900_3GPH.pdb_ligand_vina_out_score.csv","X131900","3GPH"
-7.656,"Model_3","output/Docking_Vina/results_Vina_X131900_3GPH.pdb_ligand_vina_out_score.csv","X131900","3GPH"
-7.595,"Model_4","output/Docking_Vina/results_Vina_X131900_3GPH.pdb_ligand_vina_out_score.csv","X131900","3GPH"
-7.582,"Model_5","output/Docking_Vina/results_Vina_X131900_3GPH.pdb_ligand_vina_out_score.csv","X131900","3GPH"
-7.573,"Model_6","output/Docking_Vina/results_Vina_X131900_3GPH.pdb_ligand_vina_out_score.csv","X131900","3GPH"
-7.538,"Model_7","output/Docking_Vina/results_Vina_X131900_3GPH.pdb_ligand_vina_out_score.csv","X131900","3GPH"
-7.45,"Model_8","output/Docking_Vina/results_Vina_X131900_3GPH.pdb_ligand_vina_out_score.csv","X131900","3GPH"
-7.392,"Model_9","output/Docking_Vina/results_Vina_X131900_3GPH.pdb_ligand_vina_out_score.csv","X131900","3GPH"
