Year,Publications,Cumulative
1904,1,1
1921,1,2
1930,1,3
1949,2,5
1950,1,6
1955,1,7
1961,1,8
1965,2,10
1967,1,11
1974,2,13
1975,1,14
1977,1,15
1978,3,18
1981,3,21
1982,2,23
1984,1,24
1985,2,26
1986,3,29
1987,2,31
1988,1,32
1989,3,35
1990,2,37
1991,2,39
1992,2,41
1993,5,46
1994,1,47
1995,2,49
1996,4,53
1997,2,55
1998,1,56
1999,3,59
2000,3,62
2001,3,65
2002,4,69
2003,1,70
2004,3,73
2006,1,74
2007,4,78
2008,2,80
2009,5,85
2010,3,88
2011,3,91
2013,4,95
2014,3,98
2015,4,102
2016,5,107
2017,2,109
2018,4,113
2019,5,118
2020,4,122
2021,9,131
2022,4,135
2023,6,141
2024,9,150
2025,3,153
2026,6,159
