Source,Target,Weight
Brain Neoplasms,"Tomography, X-Ray Computed",3
Papilledema,"Tomography, X-Ray Computed",3
Paresis,"Tomography, X-Ray Computed",2
Brain Diseases,Neurology,2
False localizing sign,Spinal Cord,3
False localizing sign,Muscle Weakness,2
Brain Diseases,Brain Neoplasms,2
Brain Diseases,False Positive Reactions,3
Brain Diseases,False localizing sign,2
Brain Diseases,Kernohan-Woltman notch phenomenon,2
Brain Diseases,Paresis,2
Brain Diseases,"Tomography, X-Ray Computed",2
Brain Neoplasms,False Positive Reactions,2
False Positive Reactions,"Tomography, X-Ray Computed",2
False localizing sign,Kernohan-Woltman notch phenomenon,8
False localizing sign,Paresis,4
Kernohan-Woltman notch phenomenon,Paresis,5
Neuroimaging,"Tomography, X-Ray Computed",2
Brain herniation,Cerebral Peduncle,2
Brain herniation,False localizing sign,5
Brain herniation,Ipsilateral hemiparesis,3
Brain herniation,Kernohan-Woltman notch phenomenon,6
Brain herniation,Magnetic Resonance Imaging,3
Brain herniation,Paradoxical hemiparesis,2
Brain herniation,Paresis,3
Cerebral Peduncle,False localizing sign,3
Cerebral Peduncle,Ipsilateral hemiparesis,2
Cerebral Peduncle,Kernohan-Woltman notch phenomenon,3
Cerebral Peduncle,Magnetic Resonance Imaging,2
Cerebral Peduncle,Paresis,2
False localizing sign,Ipsilateral hemiparesis,3
False localizing sign,Magnetic Resonance Imaging,5
False localizing sign,Paradoxical hemiparesis,3
False localizing sign,Retrospective Studies,3
Ipsilateral hemiparesis,Kernohan-Woltman notch phenomenon,5
Ipsilateral hemiparesis,Magnetic Resonance Imaging,2
Ipsilateral hemiparesis,Paradoxical hemiparesis,2
Ipsilateral hemiparesis,Paresis,4
Kernohan-Woltman notch phenomenon,Magnetic Resonance Imaging,3
Kernohan-Woltman notch phenomenon,Paradoxical hemiparesis,4
Magnetic Resonance Imaging,Paresis,2
Magnetic Resonance Imaging,Retrospective Studies,4
Paradoxical hemiparesis,Paresis,2
Brain herniation,Meningioma,2
False localizing sign,Meningioma,2
"History, 19th Century","History, 20th Century",4
"History, 19th Century",Ipsilateral hemiparesis,2
"History, 19th Century",Kernohan-Woltman notch phenomenon,2
"History, 19th Century",Paresis,2
"History, 20th Century",Ipsilateral hemiparesis,2
"History, 20th Century",Kernohan-Woltman notch phenomenon,2
"History, 20th Century",Paresis,2
Kernohan-Woltman notch phenomenon,Meningioma,2
Brain,Brain herniation,2
Brain,Encephalocele,2
Brain,Kernohan-Woltman notch phenomenon,2
Brain,Magnetic Resonance Imaging,4
Encephalocele,Magnetic Resonance Imaging,2
"Diagnosis, Differential",Hydrocephalus,2
"Diagnosis, Differential",Ophthalmoplegia,2
"Diagnosis, Differential",Syndrome,2
