Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,replicate,create_date,version,Sample Name,SRA Study
SRR20706832,AMPLICON,493,39346578,PRJNA863466,SAMN30048157,Metagenome or environmental,12345420,"HOSPITAL OF STOMATOLOGY, JILIN UNIVERSITY",2022,public,"fastq,sra,run.zq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX16728512,uncalculated,uncalculated,not collected,Illumina NovaSeq 6000,thyroid cancer patient,not collected,A10,PAIRED,PCR,METAGENOMIC,human saliva metagenome,ILLUMINA,2022-08-08T00:00:00Z,replicate = biological replicate 10,2022-07-29T08:46:00Z,1,A10,SRP388727
SRR20706833,AMPLICON,493,39410958,PRJNA863466,SAMN30048156,Metagenome or environmental,12391795,"HOSPITAL OF STOMATOLOGY, JILIN UNIVERSITY",2022,public,"run.zq,sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX16728511,uncalculated,uncalculated,not collected,Illumina NovaSeq 6000,thyroid cancer patient,not collected,A9,PAIRED,PCR,METAGENOMIC,human saliva metagenome,ILLUMINA,2022-08-08T00:00:00Z,replicate = biological replicate 9,2022-07-29T08:46:00Z,1,A9,SRP388727
SRR20706834,AMPLICON,493,39454918,PRJNA863466,SAMN30048155,Metagenome or environmental,12429777,"HOSPITAL OF STOMATOLOGY, JILIN UNIVERSITY",2022,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX16728510,uncalculated,uncalculated,not collected,Illumina NovaSeq 6000,thyroid cancer patient,not collected,A8,PAIRED,PCR,METAGENOMIC,human saliva metagenome,ILLUMINA,2022-08-08T00:00:00Z,replicate = biological replicate 8,2022-07-29T08:46:00Z,1,A8,SRP388727
SRR20706835,AMPLICON,493,39291928,PRJNA863466,SAMN30048154,Metagenome or environmental,12389802,"HOSPITAL OF STOMATOLOGY, JILIN UNIVERSITY",2022,public,"run.zq,fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX16728509,uncalculated,uncalculated,not collected,Illumina NovaSeq 6000,thyroid cancer patient,not collected,A7,PAIRED,PCR,METAGENOMIC,human saliva metagenome,ILLUMINA,2022-08-08T00:00:00Z,replicate = biological replicate 7,2022-07-29T08:46:00Z,1,A7,SRP388727
SRR20706836,AMPLICON,493,39510324,PRJNA863466,SAMN30048153,Metagenome or environmental,12444306,"HOSPITAL OF STOMATOLOGY, JILIN UNIVERSITY",2022,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX16728508,uncalculated,uncalculated,not collected,Illumina NovaSeq 6000,thyroid cancer patient,not collected,A6,PAIRED,PCR,METAGENOMIC,human saliva metagenome,ILLUMINA,2022-08-08T00:00:00Z,replicate = biological replicate 6,2022-07-29T08:46:00Z,1,A6,SRP388727
SRR20706837,AMPLICON,493,39565546,PRJNA863466,SAMN30048152,Metagenome or environmental,12425006,"HOSPITAL OF STOMATOLOGY, JILIN UNIVERSITY",2022,public,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX16728507,uncalculated,uncalculated,not collected,Illumina NovaSeq 6000,thyroid cancer patient,not collected,A5,PAIRED,PCR,METAGENOMIC,human saliva metagenome,ILLUMINA,2022-08-08T00:00:00Z,replicate = biological replicate 5,2022-07-29T08:46:00Z,1,A5,SRP388727
SRR20706838,AMPLICON,493,39762436,PRJNA863466,SAMN30048185,Metagenome or environmental,12459674,"HOSPITAL OF STOMATOLOGY, JILIN UNIVERSITY",2022,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX16728506,uncalculated,uncalculated,not collected,Illumina NovaSeq 6000,healthy conrtrol,not collected,C15,PAIRED,PCR,METAGENOMIC,human saliva metagenome,ILLUMINA,2022-08-08T00:00:00Z,replicate = biological replicate 15,2022-07-29T08:46:00Z,1,C15,SRP388727
SRR20706839,AMPLICON,493,39211534,PRJNA863466,SAMN30048184,Metagenome or environmental,12264062,"HOSPITAL OF STOMATOLOGY, JILIN UNIVERSITY",2022,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX16728505,uncalculated,uncalculated,not collected,Illumina NovaSeq 6000,healthy conrtrol,not collected,C14,PAIRED,PCR,METAGENOMIC,human saliva metagenome,ILLUMINA,2022-08-08T00:00:00Z,replicate = biological replicate 14,2022-07-29T08:46:00Z,1,C14,SRP388727
SRR20706840,AMPLICON,493,39486258,PRJNA863466,SAMN30048183,Metagenome or environmental,12428554,"HOSPITAL OF STOMATOLOGY, JILIN UNIVERSITY",2022,public,"sra,run.zq,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX16728504,uncalculated,uncalculated,not collected,Illumina NovaSeq 6000,healthy conrtrol,not collected,C13,PAIRED,PCR,METAGENOMIC,human saliva metagenome,ILLUMINA,2022-08-08T00:00:00Z,replicate = biological replicate 13,2022-07-29T08:46:00Z,1,C13,SRP388727
SRR20706841,AMPLICON,493,39206590,PRJNA863466,SAMN30048182,Metagenome or environmental,12300021,"HOSPITAL OF STOMATOLOGY, JILIN UNIVERSITY",2022,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX16728503,uncalculated,uncalculated,not collected,Illumina NovaSeq 6000,healthy conrtrol,not collected,C12,PAIRED,PCR,METAGENOMIC,human saliva metagenome,ILLUMINA,2022-08-08T00:00:00Z,replicate = biological replicate 12,2022-07-29T08:46:00Z,1,C12,SRP388727
