"variable","DRF","GBM","GLM"
"OTU2419_g__Emergencia",1,1,0.552393569083016
"OTU2279_g__Lactococcus",0.602763178308734,0.336118651797765,0.521958521519961
"OTU1597_g__Actinomarinicola",0.375785172560618,1.43459541989558e-05,0.334876025159698
"OTU2270_g__Carnobacterium",0.361567243831948,0.453692600815366,0.537703897829707
"OTU2136_g__Bacillus",0.352584850078958,0.00400553054961998,0.102213729503611
"OTU1959_g__Longicatena",0.275999059947283,0.157033508275206,0.614611062319185
"OTU2413_g__Christensenella",0.255494139578988,0.00160668232423435,0.200552810505668
"OTU2546_g__Faecalicatena",0.204508935497606,0.00158126976488183,0.689812639004064
"OTU743_g__Sutterella",0.191903066934276,0.233163839584399,0.424167026557526
"OTU1507_g__Prevotella",0.136878988527523,0.00061326708830301,0.270722077156971
"OTU2345_g__Dialister",0.0960417419940291,0.0894746766430607,0.0539833217427307
"OTU1473_g__Alistipes",0.080628237984388,0.223933113093323,0.423884255168063
"OTU2513_g__Acetivibrio",0.0760195038002671,0.109169458251245,0.444410433750141
"OTU1481_g__Hoylesella",0.0757886068330266,0.0698011473470493,0.232326164398145
"OTU1948_g__Turicibacter",0.0596463848272411,0.00163383896077814,0.401895301700439
"OTU2565_g__Qiania",0.0566201344940532,0.124322310529155,0.597417843570263
"OTU2567_g__Lachnoanaerobaculum",0.0509994162760839,0.00451279710987075,0.324602161825076
"OTU1952_g__Faecalitalea",0.0491897830539197,0.0115883535072103,0.19404664911367
"OTU2438_g__Terrisporobacter",0.0470626178649663,0.00136769301651453,0.326035071817884
"OTU2337_g__Phascolarctobacterium",0.0431363506082082,4.11798816943047e-05,0.175399010088436
"OTU1181_g__Sodalis",0.0393679687521759,0.00137153268121763,0.294028337019946
"OTU704_g__Oxalobacter",0.0391796059757077,0.00176700810765292,0.49206841374021
"OTU2518_g__Ruthenibacterium",0.0390426164945339,5.89544681648398e-06,0.357622488400324
"OTU2242_g__Ligilactobacillus",0.0388499711168885,0.00277600821877612,0.40216128826411
"OTU2563_g__Tyzzerella",0.0354482162712673,0.00337337373799927,0.275464981258457
"OTU999_g__Acinetobacter",0.0343575020032232,0.000167361551415895,0.177016194030167
"OTU2411_g__Candidatus_Formimonas",0.0334031270186846,0.0203340482066336,0.131216594794345
"OTU2521_g__Dysosmobacter",0.0324361934917814,2.08166906358211e-06,0.034325141223139
"OTU2437_g__Clostridioides",0.032210157648053,7.68439661721778e-07,0.0332999720744351
"OTU2511_g__Anaerotruncus",0.0306763413485743,0.0764311221359731,0.679055304640052
"OTU2560_g__Lachnoclostridium",0.0286312520959915,0.000224455187941454,0.182576054162667
"OTU1531_g__Bacteroides",0.0219614706582482,2.10453606976989e-06,0.313653162896281
"OTU1456_g__Odoribacter",0.0205398108967149,0.000245030026595775,0.523247097132426
"OTU2439_g__Paeniclostridium",0.0178945316000572,0.00197456432615354,0.114923377270261
"OTU2577_g__Dorea",0.0171787510016116,4.48652830366165e-06,0.106864827412675
"OTU2251_g__Limosilactobacillus",0.0161050788240265,0.0001680534601891,0.155751757189803
"OTU1844_g__Rothia",0.0143156260479958,0.000211843251754242,0.731101420268448
"OTU2588_g__Lachnospira",0.0107367192160177,0.00266048783808655,0.264808525965672
"OTU2555_g__Marvinbryantia",0.0107367192160177,0.0110416230180135,0.589821953826305
"OTU2529_g__Ruminococcus",0.00939462931401545,0.000522963435836769,0.52418440112044
"OTU2551_g__Pseudobutyrivibrio",0.00853602537421487,0.0203003437295261,0.482103897769221
"OTU2524_g__Vescimonas",0.00417539087733557,0.000445783408076226,0.35046209683907
"OTU2544_g__Herbinix",0.00402626970600662,0.107888636032161,0.58237036065903
