"variable","relative_importance","scaled_importance","percentage","model","Importance"
"OTU2419_g__Emergencia",46.5691604614258,1,0.12601857623439,"DRF",1
"OTU2279_g__Lactococcus",28.0701751708984,0.602763178308734,0.0759593575369826,"DRF",0.602763178308734
"OTU1536_g__Phocaeicola",18.9386806488037,0.406678592896065,0.0512490572617674,"DRF",0.406678592896065
"OTU1597_g__Actinomarinicola",17.5,0.375785172560618,0.0473559124160838,"DRF",0.375785172560618
"OTU2270_g__Carnobacterium",16.8378829956055,0.361567243831948,0.0455641892806948,"DRF",0.361567243831948
"OTU2136_g__Bacillus",16.4195804595947,0.352584850078958,0.0444322408087662,"DRF",0.352584850078958
"OTU2418_g__Aminipila",16.1682682037354,0.347188311825545,0.0437521767414768,"DRF",0.347188311825545
"OTU1606_g__Raoultibacter",14.661111831665,0.314824482262444,0.0396737330184422,"DRF",0.314824482262444
"OTU1959_g__Longicatena",12.8530445098877,0.275999059947283,0.0347810085765867,"DRF",0.275999059947283
"OTU2413_g__Christensenella",11.8981475830078,0.255494139578988,0.0321970077059747,"DRF",0.255494139578988
"OTU965_g__Moraxella",10.5691061019897,0.226955049162726,0.0286005521646927,"DRF",0.226955049162726
"OTU2546_g__Faecalicatena",9.5238094329834,0.204508935497606,0.0257719248786191,"DRF",0.204508935497606
"OTU1098_g__Pseudomonas",9.25083637237549,0.198647265287038,0.0250332455443278,"DRF",0.198647265287038
"OTU743_g__Sutterella",8.93676471710205,0.191903066934276,0.0241833512700704,"DRF",0.191903066934276
"OTU1259_g__Salmonella",7.1646614074707,0.153849915619702,0.0193879473201759,"DRF",0.153849915619702
"OTU1507_g__Prevotella",6.37433958053589,0.136878988527523,0.0172492952506419,"DRF",0.136878988527523
"OTU1480_g__Parabacteroides",6.33200931549072,0.135970012187264,0.0171347473464117,"DRF",0.135970012187264
"OTU2323_g__Streptococcus",5.90234708786011,0.126743686795667,0.0159720589566874,"DRF",0.126743686795667
"OTU2345_g__Dialister",4.47258329391479,0.0960417419940291,0.0121030435851582,"DRF",0.0960417419940291
"OTU2393_g__Desulfotomaculum",3.78787875175476,0.0813387811638207,0.0102501973949053,"DRF",0.0813387811638207
"OTU1473_g__Alistipes",3.75478935241699,0.080628237984388,0.0101606557550802,"DRF",0.080628237984388
"OTU2513_g__Acetivibrio",3.54016447067261,0.0760195038002671,0.00957986963495449,"DRF",0.0760195038002671
"OTU1481_g__Hoylesella",3.52941179275513,0.0757886068330266,0.009550772327886,"DRF",0.0757886068330266
"OTU1172_g__Morganella",3.30775785446167,0.0710289346358639,0.00895096521425714,"DRF",0.0710289346358639
"OTU1948_g__Turicibacter",2.77768206596375,0.0596463848272411,0.00751655249345747,"DRF",0.0596463848272411
"OTU2565_g__Qiania",2.63675212860107,0.0566201344940532,0.00713518873514028,"DRF",0.0566201344940532
"OTU2567_g__Lachnoanaerobaculum",2.375,0.0509994162760839,0.00642687382789708,"DRF",0.0509994162760839
"OTU1952_g__Faecalitalea",2.29072690010071,0.0491897830539197,0.0061988264257335,"DRF",0.0491897830539197
"OTU2517_g__Fastidiosipila",2.24074077606201,0.0481164090969186,0.00606356136790515,"DRF",0.0481164090969186
"OTU2438_g__Terrisporobacter",2.19166660308838,0.0470626178649663,0.00593076409720623,"DRF",0.0470626178649663
"OTU2678_g__Massilistercora",2.12083339691162,0.045541585373186,0.00573908574818584,"DRF",0.045541585373186
"OTU2337_g__Phascolarctobacterium",2.00882363319397,0.0431363506082082,0.00543598148759388,"DRF",0.0431363506082082
"OTU1614_g__Adlercreutzia",1.98529410362244,0.0426310907036191,0.00537230935378924,"DRF",0.0426310907036191
"OTU1937_g__Parvimonas",1.92857146263123,0.0414130605645919,0.00521881492985845,"DRF",0.0414130605645919
"OTU1181_g__Sodalis",1.83333325386047,0.0393679687521759,0.00496109537138917,"DRF",0.0393679687521759
"OTU704_g__Oxalobacter",1.82456135749817,0.0391796059757077,0.0049373581624831,"DRF",0.0391796059757077
"OTU2518_g__Ruthenibacterium",1.81818187236786,0.0390426164945339,0.00492009494310649,"DRF",0.0390426164945339
"OTU291_g__Desulfovibrio",1.81103682518005,0.0388891877636526,0.00490076007288737,"DRF",0.0388891877636526
"OTU2242_g__Ligilactobacillus",1.80921053886414,0.0388499711168885,0.00489581804689747,"DRF",0.0388499711168885
"OTU1174_g__Proteus",1.77777779102325,0.0381750019413776,0.00481075939239749,"DRF",0.0381750019413776
"OTU2563_g__Tyzzerella",1.65079367160797,0.0354482162712673,0.00446713374455385,"DRF",0.0354482162712673
"OTU2506_g__Pusillibacter",1.6297619342804,0.0349965925546449,0.00441022076679141,"DRF",0.0349965925546449
"OTU2522_g__Solibaculum",1.61111116409302,0.0345960963893162,0.00435975081024935,"DRF",0.0345960963893162
"OTU999_g__Acinetobacter",1.60000002384186,0.0343575020032232,0.0043296834854164,"DRF",0.0343575020032232
"OTU1609_g__Gordonibacter",1.57828283309937,0.0338911592448975,0.00427091563497498,"DRF",0.0338911592448975
"OTU2411_g__Candidatus_Formimonas",1.55555558204651,0.0334031270186846,0.00420941450867112,"DRF",0.0334031270186846
"OTU1612_g__Eggerthella",1.54347825050354,0.0331437851833734,0.00417673261982719,"DRF",0.0331437851833734
"OTU2521_g__Dysosmobacter",1.51052629947662,0.0324361934917814,0.00408756292229749,"DRF",0.0324361934917814
"OTU2437_g__Clostridioides",1.5,0.032210157648053,0.00405907820709289,"DRF",0.032210157648053
"OTU2370_g__Thermanaeromonas",1.49482405185699,0.0320990122442767,0.00404507182155402,"DRF",0.0320990122442767
"OTU2519_g__Flavonifractor",1.49387264251709,0.0320785822143926,0.0040424972582756,"DRF",0.0320785822143926
