"variable","relative_importance","scaled_importance","percentage","model","Importance"
"OTU2279_s__Lactococcus_raffinolactis",18.1067657470703,1,0.0595007377597382,"DRF",1
"OTU1959_s__Longicatena_caecimuris",17.6563777923584,0.975125985446364,0.0580207155427504,"DRF",0.975125985446364
"OTU2136_s__Bacillus_amyloliquefaciens",17.4711265563965,0.964894934879429,0.0574119604859606,"DRF",0.964894934879429
"OTU1537_s__Phocaeicola_salanitronis",15.9933567047119,0.883280698945346,0.0525558532361853,"DRF",0.883280698945346
"OTU1098_s__Pseudomonas_fragi",12.8205127716064,0.708050954582036,0.042129554169118,"DRF",0.708050954582036
"OTU2575_s__Anaerobutyricum_hallii",12.2437734603882,0.67619881051199,0.0402343280977208,"DRF",0.67619881051199
"OTU2161_s__Staphylococcus_aureus",11.0548248291016,0.610535585621648,0.0363273177730618,"DRF",0.610535585621648
"OTU2133_s__Bacillus_cereus",10.5691061019897,0.583710324064906,0.0347311949198377,"DRF",0.583710324064906
"OTU2318_s__Streptococcus_agalactiae",8.59285736083984,0.47456610865086,0.0282370335804943,"DRF",0.47456610865086
"OTU2322_s__Streptococcus_pneumoniae",8.53476905822754,0.471358009345676,0.0280461493050293,"DRF",0.471358009345676
"OTU1606_s__Raoultibacter_timonensis",7.56666660308838,0.417891671477148,0.0248648627565404,"DRF",0.417891671477148
"OTU2426_s__Eubacterium_sp._MSJ-33",7.08455276489258,0.391265500634141,0.0232805859476647,"DRF",0.391265500634141
"OTU2137_s__Bacillus_velezensis",6.11175918579102,0.337540081490252,0.0200838838721521,"DRF",0.337540081490252
"OTU1948_s__Turicibacter_sanguinis",5.83333349227905,0.322163194342032,0.0191689477423848,"DRF",0.322163194342032
"OTU1597_s__Actinomarinicola_tropica",5.83333349227905,0.322163194342032,0.0191689477423848,"DRF",0.322163194342032
"OTU2320_s__Streptococcus_equi",5.79319524765015,0.319946440384445,0.0190370492464766,"DRF",0.319946440384445
"OTU965_s__Moraxella_osloensis",5.28455305099487,0.291855162032453,0.0173655974599189,"DRF",0.291855162032453
"OTU1522_s__Bacteroides_eggerthii",5.26599311828613,0.290830134538973,0.0173046075678328,"DRF",0.290830134538973
"OTU1937_s__Parvimonas_micra",4.42976188659668,0.244646777258574,0.0145566637374275,"DRF",0.244646777258574
"OTU2511_s__Anaerotruncus_colihominis",4.19236850738525,0.231536021725116,0.0137765641105992,"DRF",0.231536021725116
"OTU1470_s__Alistipes_onderdonkii",4.07697486877441,0.225163064775059,0.0133973684703597,"DRF",0.225163064775059
"OTU1174_s__Proteus_mirabilis",3.95623016357422,0.218494579254958,0.0130005886621736,"DRF",0.218494579254958
"OTU2418_s__Aminipila_luticellarii",3.94628977775574,0.217945591878784,0.0129679235082705,"DRF",0.217945591878784
"OTU2517_s__Fastidiosipila_sanguinis",3.92245149612427,0.216629051864711,0.0128895884061429,"DRF",0.216629051864711
"OTU2432_s__Filifactor_alocis",3.4760856628418,0.191977170931492,0.0114227833034511,"DRF",0.191977170931492
"OTU2544_s__Herbinix_luporum",3.34285712242126,0.184619228476082,0.0109849802989605,"DRF",0.184619228476082
"OTU743_s__Sutterella_wadsworthensis",3.11111116409302,0.1718203685601,0.0102234386914761,"DRF",0.1718203685601
"OTU1468_s__Alistipes_indistinctus",3.04761910438538,0.168313830694942,0.0100147971015167,"DRF",0.168313830694942
"OTU1172_s__Morganella_morganii",2.64530897140503,0.146095056861993,0.0086927636663395,"DRF",0.146095056861993
"OTU704_s__Oxalobacter_aliiformigenes",2.46857142448425,0.136334200097755,0.00811198548770017,"DRF",0.136334200097755
"OTU2413_s__Christensenella_minuta",2.45444440841675,0.135553993612243,0.00806556262620729,"DRF",0.135553993612243
"OTU1181_s__Sodalis_ligni",2.38888883590698,0.131933492114322,0.00785014011602078,"DRF",0.131933492114322
"OTU2582_s__[Ruminococcus]_lactaris",2.38095235824585,0.1314951765271,0.00782406001520943,"DRF",0.1314951765271
"OTU2555_s__Marvinbryantia_formatexigens",2.33611106872559,0.12901868292539,0.00767670681885047,"DRF",0.12901868292539
"OTU2519_s__Flavonifractor_plautii",2.28608059883118,0.12625560140143,0.00751230142968452,"DRF",0.12625560140143
"OTU2524_s__Vescimonas_fastidiosa",2.25,0.124262943003173,0.00739373678488508,"DRF",0.124262943003173
"OTU996_s__Acinetobacter_baumannii",2.25,0.124262943003173,0.00739373678488508,"DRF",0.124262943003173
"OTU2529_s__Ruminococcus_champanellensis",2.18571424484253,0.120712570945818,0.0071824870281509,"DRF",0.120712570945818
"OTU2347_s__Veillonella_atypica",2.17237663269043,0.119975961639749,0.00713865823099912,"DRF",0.119975961639749
"OTU2371_s__Ammonifex_degensii",2.08333325386047,0.115058276169368,0.00684605231744112,"DRF",0.115058276169368
"OTU2565_s__Qiania_dongpingensis",1.90476191043854,0.105196142538417,0.0062592480905144,"DRF",0.105196142538417
"OTU1531_s__Bacteroides_uniformis",1.86666667461395,0.103092219819323,0.00613406313653879,"DRF",0.103092219819323
"OTU292_s__Desulfovibrio_vulgaris",1.81818187236786,0.100414502389089,0.00597473697392776,"DRF",0.100414502389089
"OTU1518_s__Bacteroides_zoogleoformans",1.78947365283966,0.0988290055682196,0.00588039874337034,"DRF",0.0988290055682196
"OTU2439_s__Paeniclostridium_sordellii",1.73333334922791,0.0957284903024915,0.00569591579762419,"DRF",0.0957284903024915
"OTU2586_s__Anaerostipes_caccae",1.71428573131561,0.0946765289429442,0.00563332332063638,"DRF",0.0946765289429442
"OTU2484_s__Clostridium_beijerinckii",1.68347823619843,0.0929750933830252,0.00553208664957055,"DRF",0.0929750933830252
"OTU845_s__Stenotrophomonas_maltophilia",1.66169595718384,0.0917721022293946,0.00546050778841109,"DRF",0.0917721022293946
"OTU1536_s__Phocaeicola_vulgatus",1.6576189994812,0.0915469401126706,0.00544711047635047,"DRF",0.0915469401126706
