"variable","relative_importance","scaled_importance","percentage"
"OTU502_g__Pontibrevibacter",1,1,0.00724652939756481
"OTU689_g__Glaciimonas",0.993951499462128,0.993951499462128,0.00720269876060593
"OTU1859_g__Actinomyces",0.989490866661072,0.989490866661072,0.00717037465388134
"OTU1819_g__Actinotalea",0.965857863426208,0.965857863426208,0.00699911740118715
"OTU73_g__Fimbriimonas",0.946857571601868,0.946857571601868,0.00686143122791976
"OTU1172_g__Morganella",0.939866006374359,0.939866006374359,0.00681076664496363
"OTU1143_g__Nissabacter",0.939850866794586,0.939850866794586,0.00681065693555373
"OTU1662_g__Saccharothrix",0.939592659473419,0.939592659473419,0.00680878582861023
"OTU606_g__Sulfuritortus",0.92942225933075,0.92942225933075,0.00673508572499138
"OTU1926_g__Acidilutibacter",0.928697109222412,0.928697109222412,0.00672983090341366
"OTU916_g__Alteromonas",0.925436496734619,0.925436496734619,0.00670620277916681
"OTU594_g__Gallionella",0.921365141868591,0.921365141868591,0.00667669958644222
"OTU2040_g__Oceanobacillus",0.919444799423218,0.919444799423218,0.00666278376845843
"OTU330_g__Caulobacter",0.918572545051575,0.918572545051575,0.00665646295151216
"OTU1510_g__Bacteroides",0.918530941009521,0.918530941009521,0.00665616146659836
"OTU570_g__Acidocella",0.917936205863953,0.917936205863953,0.00665185170088223
"OTU1293_g__Enterobacter",0.91793018579483,0.91793018579483,0.00665180807627436
"OTU234_g__Desulfolithobacter",0.917567193508148,0.917567193508148,0.00664917764199783
"OTU400_g__Ancylobacter",0.916244864463806,0.916244864463806,0.00663959534570475
"OTU1967_g__Effusibacillus",0.912931621074677,0.912931621074677,0.00661558583008414
"OTU1908_g__Bifidobacterium",0.90852016210556,0.90852016210556,0.00658361806297829
"OTU107_g__Acaryochloris",0.907562434673309,0.907562434673309,0.00657667786298563
"OTU221_g__Roseimicrobium",0.907543122768402,0.907543122768402,0.00657653791869899
"OTU296_g__Sneathiella",0.903817355632782,0.903817355632782,0.00654953903762224
"OTU1936_g__Anaerococcus",0.903382420539856,0.903382420539856,0.00654638726768532
"OTU1959_g__Longicatena",0.902599930763245,0.902599930763245,0.00654071693251581
"OTU1980_g__Listeria",0.902195990085602,0.902195990085602,0.0065377897645204
"OTU1723_g__Rhodococcus",0.895421802997589,0.895421802997589,0.00648870041864251
"OTU1588_g__Conexibacter",0.894390165805817,0.894390165805817,0.00648122462940471
"OTU1618_g__Leptogranulimonas",0.892593502998352,0.892593502998352,0.00646820505955291
"OTU889_g__Thalassomonas",0.892411112785339,0.892411112785339,0.00646688336351248
"OTU147_g__Brucepastera",0.889514327049255,0.889514327049255,0.00644589172051751
"OTU890_g__Thalassotalea",0.884797692298889,0.884797692298889,0.0064117124881414
"OTU1963_g__Faecalibaculum",0.884146511554718,0.884146511554718,0.00640699368773564
"OTU1434_g__Spirosoma",0.88198322057724,0.88198322057724,0.00639131733607185
"OTU1006_g__Entomomonas",0.88136225938797,0.88136225938797,0.00638681752255906
"OTU41_g__Isosphaera",0.876644849777222,0.876644849777222,0.00635263267513442
"OTU1144_g__Candidatus_Fukatsuia",0.869796276092529,0.869796276092529,0.00630300428459691
"OTU131_g__Marinithermus",0.867448031902313,0.867448031902313,0.00628598766403985
"OTU233_g__Desulfomarina",0.867058396339417,0.867058396339417,0.00628316415847898
"OTU215_g__Coraliomargarita",0.866906106472015,0.866906106472015,0.00628206058547791
"OTU1681_g__Arachnia",0.866621792316437,0.866621792316437,0.00628000029459136
"OTU624_g__Inhella",0.865879416465759,0.865879416465759,0.00627462064616538
"OTU146_g__Sphaerochaeta",0.864250242710114,0.864250242710114,0.00626281479065136
