"variable","relative_importance","scaled_importance","percentage"
"OTU1612_g__Eggerthella",1,1,0.00700756152098576
"OTU41_g__Isosphaera",0.978066265583038,0.978066265583038,0.00685385952767394
"OTU1723_g__Rhodococcus",0.960468292236328,0.960468292236328,0.0067305406468022
"OTU1536_g__Phocaeicola",0.959809362888336,0.959809362888336,0.00672592315885816
"OTU1896_g__Streptomyces",0.957685351371765,0.957685351371765,0.00671103901748451
"OTU916_g__Alteromonas",0.956407487392426,0.956407487392426,0.00670208430703383
"OTU1482_g__Hoylesella",0.949018061161041,0.949018061161041,0.00665030244811262
"OTU1973_g__Thermoactinomyces",0.94227796792984,0.94227796792984,0.0066030708301378
"OTU231_g__Desulfotalea",0.941036283969879,0.941036283969879,0.00659436965339875
"OTU194_g__Sulfuricurvum",0.937081038951874,0.937081038951874,0.00656665303060451
"OTU206_g__Candidatus_Nanosynbacter",0.934817135334015,0.934817135334015,0.00655078858672478
"OTU1968_g__Tumebacillus",0.934598028659821,0.934598028659821,0.0065492531832257
"OTU211_g__Candidatus_Protochlamydia",0.922139465808868,0.922139465808868,0.00646194903758459
"OTU1962_g__Allobaculum",0.921614408493042,0.921614408493042,0.00645826966614189
"OTU446_g__Parasphingopyxis",0.918388068675995,0.918388068675995,0.00643566089138633
"OTU232_g__Desulfosediminicola",0.917219042778015,0.917219042778015,0.00642746887048661
"OTU296_g__Sneathiella",0.916014432907104,0.916014432907104,0.00641902749270742
"OTU1006_g__Entomomonas",0.91556042432785,0.91556042432785,0.00641584599965724
"OTU400_g__Ancylobacter",0.914475083351135,0.914475083351135,0.00640824040599166
"OTU1960_g__Amedibacterium",0.913025438785553,0.913025438785553,0.00639808193251478
"OTU1302_g__Otariodibacter",0.913023054599762,0.913023054599762,0.00639806522518617
"OTU220_g__Sulfuriroseicoccus",0.910899579524994,0.910899579524994,0.00638318484296146
"OTU1195_g__Kluyvera",0.910412311553955,0.910412311553955,0.00637977028267719
"OTU1139_g__Erwinia",0.909504771232605,0.909504771232605,0.00637341063804256
"OTU238_g__Desulfurivibrio",0.907274901866913,0.907274901866913,0.00635778469127871
"OTU1163_g__Yersinia",0.907225608825684,0.907225608825684,0.00635743926725974
"OTU610_g__Kingella",0.905906736850739,0.905906736850739,0.00634819719075701
"OTU1199_g__Symbiopectobacterium",0.904973208904266,0.904973208904266,0.00634165543624054
"OTU1118_g__Dickeya",0.901829123497009,0.901829123497009,0.00631962306432196
"OTU1964_g__Faecalibacillus",0.900812447071075,0.900812447071075,0.00631249864172029
"OTU116_g__Limnospira",0.899725019931793,0.899725019931793,0.00630487842914218
"OTU1166_g__Arsenophonus",0.899145722389221,0.899145722389221,0.00630081896597365
"OTU1672_g__Microlunatus",0.898362815380096,0.898362815380096,0.006295332696942
"OTU502_g__Pontibrevibacter",0.898167729377747,0.898167729377747,0.00629396561977865
"OTU1577_g__Euzebya",0.896225869655609,0.896225869655609,0.00628035791831065
"OTU1305_g__Mannheimia",0.895204424858093,0.895204424858093,0.00627320008105176
"OTU990_g__Acinetobacter",0.893124878406525,0.893124878406525,0.00625862753135665
"OTU1859_g__Actinomyces",0.891629695892334,0.891629695892334,0.00624814994790335
"OTU1172_g__Morganella",0.889731824398041,0.889731824398041,0.00623485049664817
"OTU689_g__Glaciimonas",0.889127671718597,0.889127671718597,0.0062306168595789
"OTU622_g__Uruburuella",0.887913703918457,0.887913703918457,0.00622210990553492
"OTU1976_g__Laceyella",0.887187778949738,0.887187778949738,0.006217022941657
"OTU1209_g__Citrobacter",0.886819779872894,0.886819779872894,0.00621444416548636
"OTU1926_g__Acidilutibacter",0.885989367961884,0.885989367961884,0.00620862500293219
"OTU1573_g__Mycoplasmopsis",0.884864687919617,0.884864687919617,0.00620074373834458
"OTU908_g__Shewanella",0.882992565631866,0.882992565631866,0.00618762472623836
"OTU1980_g__Listeria",0.882794797420502,0.882794797420502,0.00618623885333033
"OTU608_g__Paralysiella",0.880683302879333,0.880683302879333,0.00617144242543186
"OTU151_g__Treponema",0.880563974380493,0.880563974380493,0.00617060622363503
"OTU631_g__Sphaerotilus",0.880289554595947,0.880289554595947,0.00616868321011225
"OTU1132_g__Pantoea",0.879662275314331,0.879662275314331,0.00616428751195549
"OTU1146_g__Rouxiella",0.878636598587036,0.878636598587036,0.00615710001918832
"OTU1588_g__Conexibacter",0.878233671188354,0.878233671188354,0.00615427648065357
"OTU912_g__Agarivorans",0.877106666564941,0.877106666564941,0.00614637892642057
"OTU1507_g__Prevotella",0.876215934753418,0.876215934753418,0.00614013706845262
"OTU1293_g__Enterobacter",0.875190317630768,0.875190317630768,0.00613294999336867
"OTU1937_g__Parvimonas",0.874661684036255,0.874661684036255,0.00612924556093306
"OTU1974_g__Polycladomyces",0.874271154403687,0.874271154403687,0.00612650890050707
"OTU886_g__Legionella",0.874058842658997,0.874058842658997,0.00612502111289453
"OTU594_g__Gallionella",0.870021283626556,0.870021283626556,0.00609672766958009
"OTU1967_g__Effusibacillus",0.867535531520844,0.867535531520844,0.00607930860877339
"OTU629_g__Ideonella",0.866586565971375,0.866586565971375,0.00607265867430419
"OTU1455_g__Barnesiella",0.864337682723999,0.864337682723999,0.00605689948659469
"OTU1583_g__Rubrobacter",0.863311767578125,0.863311767578125,0.00604971032309467
"OTU889_g__Thalassomonas",0.862139582633972,0.862139582633972,0.00604149616498455
"OTU147_g__Brucepastera",0.859914541244507,0.859914541244507,0.00602590405056113
"OTU1145_g__Chania",0.856128096580505,0.856128096580505,0.00599937030663233
"OTU1841_g__Rothia",0.85471647977829,0.85471647977829,0.00598947831504675
"OTU29_g__Fluviispira",0.853891253471375,0.853891253471375,0.0059836954909323
"OTU132_g__Thermus",0.852086246013641,0.852086246013641,0.0059710467901264
