"variable","relative_importance","scaled_importance","percentage"
"OTU1147_s__Rahnella_victoriana",0.115140438079834,1,0.0139203092758255
"OTU617_s__Neisseria_canis",0.113220363855362,0.983324067056782,0.013688175131793
"OTU1171_s__Xenorhabdus_bovienii",0.0940531194210052,0.816855667648167,0.0113708835273734
"OTU1275_s__Enterobacter_sp._SGAir0187",0.0918230041861534,0.797487014271101,0.0111012658821084
"OTU296_s__Sneathiella_marina",0.0793190896511078,0.688889941482687,0.00958956104244434
"OTU626_s__Caldimonas_brevitalea",0.079207681119442,0.687922353261522,0.00957609191515408
"OTU594_s__Gallionella_capsiferriformans",0.0759228095412254,0.659393092534384,0.00917895578242165
"OTU1021_s__Pseudomonas_sp._LS1212",0.0725049898028374,0.629709170921906,0.00876574641305661
"OTU2040_s__Oceanobacillus_jeddahense",0.0688124820590019,0.597639571349294,0.00831932766865396
"OTU502_s__Pontibrevibacter_nitratireducens",0.0684794709086418,0.594747354193327,0.00827906711135004
"OTU616_s__Neisseria_dumasiana",0.067578911781311,0.586925956755996,0.00817019084005325
"OTU220_s__Sulfuriroseicoccus_oceanibius",0.0669475719332695,0.581442741140611,0.00809386278286106
"OTU1146_s__Rouxiella_badensis",0.0665352493524551,0.577861700563638,0.00804401359050031
"OTU41_s__Isosphaera_pallida",0.0635518953204155,0.551951133591754,0.00768333048473969
"OTU953_s__Vibrio_harveyi",0.0618496648967266,0.537167184076913,0.00747753333517492
"OTU628_s__Schlegelella_aquatica",0.0615234300494194,0.5343338194246,0.00743809202292354
"OTU612_s__Neisseria_meningitidis",0.0609582811594009,0.52942547532375,0.00736976635500753
"OTU248_s__Desulfonema_limicola",0.0588206425309181,0.510859985525972,0.00711132899516528
"OTU214_s__Candidatus_Rhabdochlamydia_porcellionis",0.0554249323904514,0.481368086788257,0.00670079264360495
"OTU446_s__Parasphingopyxis_sp._CP4",0.0553573817014694,0.480781405947811,0.00669262586485974
"OTU231_s__Desulfotalea_psychrophila",0.0550865791738033,0.478429473540898,0.00665988623835968
"OTU236_s__Desulfobulbus_propionicus",0.0550688244402409,0.478275272863373,0.00665773971723798
"OTU1499_s__Prevotella_fusca",0.0547164641320705,0.475215007381961,0.0066151398752706
"OTU212_s__Neochlamydia_sp._S13",0.0541306883096695,0.470127517424741,0.00654432044162844
"OTU1709_s__Rhodococcus_sp._W8901",0.0538308583199978,0.467523480175345,0.00650807143775108
"OTU1156_s__Serratia_symbiotica",0.053635623306036,0.465827855100283,0.00648446781229037
"OTU2029_s__Paenibacillus_sp._JZ16",0.053317554295063,0.463065411112077,0.0064460137376174
"OTU1973_s__Thermoactinomyces_vulgaris",0.0532669574022293,0.46262597477088,0.00643989664784089
"OTU913_s__Lacimicrobium_alkaliphilum",0.0530768968164921,0.460975289842918,0.00641691860312673
"OTU1718_s__Rhodococcus_qingshengii",0.0530370734632015,0.460629422188125,0.0064121040184035
"OTU630_s__Roseateles_sp._BIM_B-1768",0.0526164099574089,0.456975940294119,0.00636124642050531
