"variable","relative_importance","scaled_importance","percentage"
"OTU41_g__Isosphaera",1,1,0.00721599388672413
"OTU206_g__Candidatus_Nanosynbacter",0.959652423858643,0.959652423858643,0.00692484602394396
"OTU1896_g__Streptomyces",0.944283843040466,0.944283843040466,0.00681394643871237
"OTU1006_g__Entomomonas",0.942076981067657,0.942076981067657,0.00679802173620774
"OTU194_g__Sulfuricurvum",0.93440842628479,0.93440842628479,0.00674268549177456
"OTU232_g__Desulfosediminicola",0.933573722839355,0.933573722839355,0.00673666227681507
"OTU1118_g__Dickeya",0.92186427116394,0.92186427116394,0.00665216694510839
"OTU1612_g__Eggerthella",0.920709133148193,0.920709133148193,0.00664383147624843
"OTU211_g__Candidatus_Protochlamydia",0.917676687240601,0.917676687240601,0.00662194936511742
"OTU1973_g__Thermoactinomyces",0.910530030727386,0.910530030727386,0.00657037913540755
"OTU1482_g__Hoylesella",0.907108962535858,0.907108962535858,0.00654569272825142
"OTU231_g__Desulfotalea",0.90333491563797,0.90333491563797,0.00651845922890805
"OTU910_g__Catenovulum",0.901055812835693,0.901055812835693,0.0065020132370196
"OTU1302_g__Otariodibacter",0.899734735488892,0.899734735488892,0.00649248035096119
"OTU1536_g__Phocaeicola",0.895704865455627,0.895704865455627,0.00646340083343686
"OTU1859_g__Actinomyces",0.894377589225769,0.894377589225769,0.00645382321627621
"OTU1163_g__Yersinia",0.891667068004608,0.891667068004608,0.00643426411171448
"OTU1209_g__Citrobacter",0.891278684139252,0.891278684139252,0.00643146153611637
"OTU132_g__Thermus",0.890907645225525,0.890907645225525,0.00642878412158318
"OTU296_g__Sneathiella",0.889008164405823,0.889008164405823,0.00641507747960026
"OTU908_g__Shewanella",0.88579797744751,0.88579797744751,0.00639191279013383
"OTU1937_g__Parvimonas",0.883966445922852,0.883966445922852,0.00637869646984855
"OTU1962_g__Allobaculum",0.883660435676575,0.883660435676575,0.00637648830178214
"OTU1195_g__Kluyvera",0.880692958831787,0.880692958831787,0.00635507500701116
"OTU147_g__Brucepastera",0.880498707294464,0.880498707294464,0.00635367328910535
"OTU1960_g__Amedibacterium",0.880406379699707,0.880406379699707,0.00635300705374601
"OTU916_g__Alteromonas",0.87988805770874,0.87988805770874,0.00634926684542784
"OTU1139_g__Erwinia",0.878024041652679,0.878024041652679,0.00633581611696255
"OTU502_g__Pontibrevibacter",0.876498579978943,0.876498579978943,0.00632480839485043
"OTU400_g__Ancylobacter",0.873771369457245,0.873771369457245,0.00630512886039805
"OTU1974_g__Polycladomyces",0.872180581092834,0.872180581092834,0.00629364974128539
"OTU1964_g__Faecalibacillus",0.872169256210327,0.872169256210327,0.00629356802100245
"OTU1980_g__Listeria",0.871979355812073,0.871979355812073,0.00629219770088956
"OTU1723_g__Rhodococcus",0.871753334999084,0.871753334999084,0.00629056673608476
"OTU1968_g__Tumebacillus",0.871225118637085,0.871225118637085,0.00628675513004571
"OTU886_g__Legionella",0.86990761756897,0.86990761756897,0.00627724805039244
"OTU131_g__Marinithermus",0.867338180541992,0.867338180541992,0.00625870700851344
"OTU689_g__Glaciimonas",0.866581082344055,0.866581082344055,0.00625324379254548
"OTU631_g__Sphaerotilus",0.864377200603485,0.864377200603485,0.00623734059537846
"OTU1979_g__Kroppenstedtia",0.863145172595978,0.863145172595978,0.00622845028880802
"OTU219_g__Horticoccus",0.860945045948029,0.860945045948029,0.0062125741883664
"OTU1841_g__Rothia",0.859732031822205,0.859732031822205,0.00620382108584994
"OTU1455_g__Barnesiella",0.858332812786102,0.858332812786102,0.00619372432983924
"OTU1293_g__Enterobacter",0.857546508312225,0.857546508312225,0.00618805036156264
"OTU990_g__Acinetobacter",0.857322990894318,0.857322990894318,0.00618643746124144
"OTU610_g__Kingella",0.854794323444366,0.854794323444366,0.00616819061238104
"OTU1143_g__Nissabacter",0.854378521442413,0.854378521442413,0.00616519018767685
"OTU1145_g__Chania",0.853373050689697,0.853373050689697,0.00615793471687197
"OTU629_g__Ideonella",0.85231339931488,0.85231339931488,0.00615028827902924
"OTU1967_g__Effusibacillus",0.850471675395966,0.850471675395966,0.00613699841048931
"OTU622_g__Uruburuella",0.84951376914978,0.84951376914978,0.00613008616487279
"OTU1947_g__Turicibacter",0.846552610397339,0.846552610397339,0.00610871846141755
"OTU446_g__Parasphingopyxis",0.842595100402832,0.842595100402832,0.00608016109349054
"OTU151_g__Treponema",0.842426776885986,0.842426776885986,0.00607894647202199
"OTU1305_g__Mannheimia",0.840950071811676,0.840950071811676,0.00606829057723327
"OTU1926_g__Acidilutibacter",0.84093576669693,0.84093576669693,0.00606818735161271
"OTU1132_g__Pantoea",0.840438187122345,0.840438187122345,0.00606459682044435
"OTU1310_g__Histophilus",0.839734673500061,0.839734673500061,0.00605952027044672
"OTU1695_g__Nocardioides",0.838898420333862,0.838898420333862,0.00605348587271168
"OTU1507_g__Prevotella",0.837406039237976,0.837406039237976,0.0060427168598471
"OTU239_g__Desulfobacca",0.836762607097626,0.836762607097626,0.00603807385745581
"OTU1976_g__Laceyella",0.836661219596863,0.836661219596863,0.00603734224587011
"OTU1434_g__Spirosoma",0.835961699485779,0.835961699485779,0.00603229451302489
"OTU213_g__Waddlia",0.835339903831482,0.835339903831482,0.00602780763938469
"OTU889_g__Thalassomonas",0.834314465522766,0.834314465522766,0.00602040808281779
"OTU238_g__Desulfurivibrio",0.832624852657318,0.832624852657318,0.00600821584670978
"OTU116_g__Limnospira",0.832582831382751,0.832582831382751,0.0060079126214494
"OTU29_g__Fluviispira",0.832277119159698,0.832277119159698,0.00600570660391675
"OTU1199_g__Symbiopectobacterium",0.829973578453064,0.829973578453064,0.00598908426825986
"OTU1958_g__Erysipelothrix",0.82440048456192,0.82440048456192,0.00594886885681122
"OTU607_g__Aquaspirillum",0.823553085327148,0.823553085327148,0.0059427540291135
"OTU1952_g__Faecalitalea",0.82322359085083,0.82322359085083,0.00594037639898667
"OTU623_g__Aquincola",0.821673691272736,0.821673691272736,0.00592919233310611
"OTU1703_g__Gordonia",0.821097373962402,0.821097373962402,0.00592503363091793
