OTU,DRF,GBM,GLM,DeepLearning
OTU999_s__Acinetobacter_haemolyticus,0.0,0.0,0.7190635451505016,0.4481605351170569
OTU996_s__Acinetobacter_baumannii,0.294314381270903,0.0,0.3946488294314381,0.9130434782608696
OTU965_s__Moraxella_osloensis,0.0,0.0,0.0367892976588628,0.7190635451505016
OTU960_s__Vibrio_cholerae,0.0501672240802675,0.0,0.0635451505016722,0.9464882943143812
OTU956_s__Vibrio_furnissii,0.0,0.0,,
OTU94_s__Fusobacterium_nucleatum,0.0,0.0,0.1103678929765886,0.7391304347826085
OTU93_s__Fusobacterium_ulcerans,0.0,0.0,0.1304347826086956,
OTU929_s__Aeromonas_veronii,0.0,0.0,0.0234113712374581,0.3812709030100334
OTU92_s__Fusobacterium_mortiferum,0.0,0.0,0.1906354515050167,0.6321070234113713
OTU918_s__Succinivibrio_dextrinosolvens,0.0,0.0,,
OTU917_s__Alteromonas_sp._RKMC-009,0.0,0.0,0.5551839464882944,0.8193979933110368
OTU91_s__Fusobacterium_necrophorum,,0.0,,0.4481605351170569
OTU845_s__Stenotrophomonas_maltophilia,0.0,0.0,0.5919732441471572,0.6521739130434783
OTU84_s__Cetobacterium_somerae,0.1705685618729097,1.0,1.0,0.8327759197324415
OTU743_s__Sutterella_wadsworthensis,0.0,0.0,0.354515050167224,0.5652173913043479
OTU742_s__Sutterella_megalosphaeroides,0.0,0.0,,0.5016722408026756
OTU740_s__Turicimonas_muris,0.0,0.0,,0.745819397993311
OTU739_s__Ralstonia_insidiosa,0.1304347826086956,0.0,0.7591973244147157,0.4816053511705686
OTU704_s__Oxalobacter_aliiformigenes,0.0,0.0,0.0702341137123745,
OTU703_s__Oxalobacter_formigenes,0.0,0.0,0.4615384615384615,0.5551839464882944
OTU69_s__Gemmatimonas_phototrophica,0.0434782608695651,0.0,,0.7190635451505016
OTU66_s__Gemmatirosa_kalamazoonensis,0.0,0.0,,0.7792642140468228
OTU65_s__Candidatus_Koribacter_versatilis,0.0,0.0,0.0702341137123745,0.6588628762541805
OTU631_s__Sphaerotilus_sulfidivorans,0.0,0.0,0.4013377926421404,0.8461538461538461
OTU611_s__Conchiformibius_steedae,0.0,0.0,,0.49163879598662213
OTU58_s__Paludibaculum_fermentans,0.0,0.0,0.4481605351170569,0.6923076923076923
OTU32_s__Dissulfurispira_thermophila,0.0969899665551839,0.0,0.2441471571906354,0.6120401337792643
OTU292_s__Desulfovibrio_vulgaris,0.0,0.0,0.0836120401337793,
OTU291_s__Desulfovibrio_piger,0.0,0.0,0.0,0.6120401337792643
