"identifier","score","Gene"
"2WMC",1,"EIF4E"
"5ME6",0.991093756836892,"EIF4E"
"1ZTP",0.986725751302786,"EIF4E"
"5ME7",0.986090871017413,"EIF4E"
"2Q4K",0.980229011132804,"EIF4E"
"2IDR",0.975029327010228,"EIF4E"
"3TF2",0.966532307634607,"EIF4E"
"6FC0",0.966222055995316,"EIF4E"
"6U06",0.96428074335376,"EIF4E"
"6U09",0.96428074335376,"EIF4E"
"5ABV",0.96306890753501,"EIF4E"
"5J5O",0.957530894937418,"EIF4E"
"5M7W",0.957530894937418,"EIF4E"
"5M7X",0.957530894937418,"EIF4E"
"5M81",0.957530894937418,"EIF4E"
"6GKJ",0.957530894937418,"EIF4E"
"6GKK",0.957530894937418,"EIF4E"
"6YLT",0.957530894937418,"EIF4E"
"4UEA",0.956754640751938,"EIF4E"
"4UEB",0.956754640751938,"EIF4E"
"5T47",0.95507451040041,"EIF4E"
"5NVK",0.954787074445808,"EIF4E"
"5J5Y",0.953255037682343,"EIF4E"
"6GKL",0.953255037682343,"EIF4E"
"6YLV",0.953255037682343,"EIF4E"
