"identifier","score","Gene"
"7ZJY",1,"MAX"
"7ZK0",1,"MAX"
"7ZKD",1,"MAX"
"2VO4",0.978654465502203,"MAX"
"6R5J",0.974654470709363,"MAX"
"1AN2",0.971513674196158,"MAX"
"1R05",0.971513674196158,"MAX"
"1NLW",0.969156589051301,"MAX"
"7W6K",0.967429840748653,"MAX"
"1HLO",0.960219716447492,"MAX"
"4CHS",0.955300877725963,"MAX"
"4TOP",0.953021612570503,"MAX"
"6NTT",0.932711423749589,"MAX"
"5EYO",0.932622191965092,"MAX"
"8JRD",0.926909345900081,"MAX"
"1BBI",0.921338547097924,"MAX"
"2BBI",0.921338547097924,"MAX"
"1AVU",0.914584032376226,"MAX"
"1HYP",0.914584032376226,"MAX"
"1PI2",0.914584032376226,"MAX"
"1SBD",0.914584032376226,"MAX"
"2KSZ",0.914584032376226,"MAX"
"2ROA",0.914584032376226,"MAX"
"2ROB",0.914584032376226,"MAX"
"2SBA",0.914584032376226,"MAX"
