"identifier","score","Gene"
"5TTS",1,"JAK3"
"5TTV",1,"JAK3"
"5TOZ",0.999361690543694,"JAK3"
"3LXK",0.972718318275259,"JAK3"
"3LXL",0.972718318275259,"JAK3"
"5TTU",0.972718318275259,"JAK3"
"5LWM",0.942563199576518,"JAK3"
"5LWN",0.942563199576518,"JAK3"
"6GL9",0.942563199576518,"JAK3"
"6GLA",0.942563199576518,"JAK3"
"6GLB",0.942563199576518,"JAK3"
"1YVJ",0.937333684438348,"JAK3"
"4I6Q",0.937333684438348,"JAK3"
"4QPS",0.937333684438348,"JAK3"
"4QT1",0.937333684438348,"JAK3"
"5WFJ",0.937333684438348,"JAK3"
"6DA4",0.937333684438348,"JAK3"
"6DB3",0.937333684438348,"JAK3"
"6DB4",0.937333684438348,"JAK3"
"6DUD",0.937333684438348,"JAK3"
"4HVD",0.908153448164798,"JAK3"
"4HVG",0.908153448164798,"JAK3"
"4HVH",0.908153448164798,"JAK3"
"4HVI",0.908153448164798,"JAK3"
"7UYV",0.908153448164798,"JAK3"
