"identifier","score","Gene"
"6DQJ",1,"ITPR3"
"6DRA",1,"ITPR3"
"3JRR",0.953527448206954,"ITPR3"
"6DQN",0.953527448206954,"ITPR3"
"6DQV",0.953527448206954,"ITPR3"
"6DRC",0.953527448206954,"ITPR3"
"7T3P",0.91118258209145,"ITPR3"
"7T3Q",0.91118258209145,"ITPR3"
"7T3R",0.91118258209145,"ITPR3"
"7T3T",0.91118258209145,"ITPR3"
"7T3U",0.91118258209145,"ITPR3"
"8TKD",0.91118258209145,"ITPR3"
"8TKE",0.91118258209145,"ITPR3"
"8TKH",0.91118258209145,"ITPR3"
"8TKI",0.91118258209145,"ITPR3"
"8TL9",0.91118258209145,"ITPR3"
"8TLA",0.91118258209145,"ITPR3"
