"identifier","score","Gene"
"5LBB",1,"EGLN1"
"5LBE",1,"EGLN1"
"6YVX",1,"EGLN1"
"6YVZ",1,"EGLN1"
"6YW0",1,"EGLN1"
"6YW1",1,"EGLN1"
"6YW2",1,"EGLN1"
"6YW4",1,"EGLN1"
"5L9R",0.963031894060687,"EGLN1"
"5LAT",0.963031894060687,"EGLN1"
"5LB6",0.963031894060687,"EGLN1"
"5LBF",0.963031894060687,"EGLN1"
"5OX5",0.963031894060687,"EGLN1"
"6QGV",0.963031894060687,"EGLN1"
"6ST3",0.963031894060687,"EGLN1"
"6YVW",0.963031894060687,"EGLN1"
"5LBC",0.928699744784016,"EGLN1"
"5OX6",0.928699744784016,"EGLN1"
"6YVT",0.928699744784016,"EGLN1"
