"identifier","score","Gene"
"2OF2",1,"LCK"
"2OF4",1,"LCK"
"2OFV",0.990905327314571,"LCK"
"1H92",0.98561829571208,"LCK"
"3AC3",0.98561829571208,"LCK"
"3AC8",0.98561829571208,"LCK"
"3B2W",0.98561829571208,"LCK"
"3MPM",0.98561829571208,"LCK"
"1X27",0.98366708735263,"LCK"
"2OG8",0.977126704457731,"LCK"
"1Q69",0.969815621510507,"LCK"
"1KIK",0.969529699500753,"LCK"
"2IIM",0.969529699500753,"LCK"
"1QPC",0.961841507887014,"LCK"
"2OFU",0.961841507887014,"LCK"
"2ZM1",0.961841507887014,"LCK"
"2ZM4",0.961841507887014,"LCK"
"2ZYB",0.961841507887014,"LCK"
"3AC1",0.961841507887014,"LCK"
"3AC2",0.961841507887014,"LCK"
"3AC4",0.961841507887014,"LCK"
"3AC5",0.961841507887014,"LCK"
"3ACJ",0.961841507887014,"LCK"
"3ACK",0.961841507887014,"LCK"
"3BYM",0.961841507887014,"LCK"
