"identifier","score","Gene"
"2QLF",1,"CASP7"
"3IBC",1,"CASP7"
"3IBF",1,"CASP7"
"5IC6",1,"CASP7"
"6X8J",1,"CASP7"
"6X8L",1,"CASP7"
"2QL5",0.96229003754658,"CASP7"
"2QL7",0.96229003754658,"CASP7"
"2QL9",0.96229003754658,"CASP7"
"2QLB",0.96229003754658,"CASP7"
"2QLJ",0.96229003754658,"CASP7"
"3EDR",0.96229003754658,"CASP7"
"4JB8",0.96229003754658,"CASP7"
"4LSZ",0.96229003754658,"CASP7"
"4ZVO",0.96229003754658,"CASP7"
"4ZVP",0.96229003754658,"CASP7"
"4ZVQ",0.96229003754658,"CASP7"
"4ZVR",0.96229003754658,"CASP7"
"4ZVS",0.96229003754658,"CASP7"
"4ZVT",0.96229003754658,"CASP7"
"4ZVU",0.96229003754658,"CASP7"
"5K20",0.96229003754658,"CASP7"
"6CL1",0.96229003754658,"CASP7"
"6CL2",0.96229003754658,"CASP7"
"1SHJ",0.912287655641258,"CASP7"
