"identifier","score","Gene"
"8FY4",1,"CCR4"
"6H3Z",0.996218629415266,"CCR4"
"4C0E",0.974172699863703,"CCR4"
"4C0G",0.967698655414305,"CCR4"
"4B8B",0.959314395144763,"CCR4"
"4B89",0.955660689109934,"CCR4"
"4C0D",0.937171398870146,"CCR4"
"4CV5",0.932453539478488,"CCR4"
"5FU6",0.928417686116815,"CCR4"
"5FU7",0.928417686116815,"CCR4"
"4B8A",0.92793398004553,"CCR4"
"6HON",0.9236153897434,"CCR4"
"2CPI",0.922019582869592,"CCR4"
"4C0F",0.920223392780788,"CCR4"
"8FY3",0.918568050348138,"CCR4"
"5AJD",0.916144897766801,"CCR4"
"8BFI",0.915575843289128,"CCR4"
"4GML",0.915206032745664,"CCR4"
"6HOM",0.906205096061552,"CCR4"
"4CT6",0.904208815715669,"CCR4"
"4BY6",0.903876992048732,"CCR4"
"8BFH",0.900432718373435,"CCR4"
