"identifier","score","Gene"
"2ILT",1,"HSD11B1"
"4P38",1,"HSD11B1"
"4YYZ",1,"HSD11B1"
"2RBE",0.959954291015617,"HSD11B1"
"3FCO",0.959954291015617,"HSD11B1"
"3FRJ",0.959954291015617,"HSD11B1"
"3QQP",0.959954291015617,"HSD11B1"
"4HFR",0.959954291015617,"HSD11B1"
"4K1L",0.959954291015617,"HSD11B1"
"1XU7",0.922992673820487,"HSD11B1"
"3BYZ",0.922992673820487,"HSD11B1"
"3CZR",0.922992673820487,"HSD11B1"
"3EY4",0.922992673820487,"HSD11B1"
"3G49",0.922992673820487,"HSD11B1"
"3LZ6",0.922992673820487,"HSD11B1"
"3PDJ",0.922992673820487,"HSD11B1"
"4HX5",0.922992673820487,"HSD11B1"
"6NJ7",0.922992673820487,"HSD11B1"
