"identifier","score","Gene"
"1DXL",1,"GSR"
"1H6V",0.999621415686739,"GSR"
"3EAN",0.96542038478088,"GSR"
"3EAO",0.96542038478088,"GSR"
"1FEA",0.949609451213202,"GSR"
"1MOK",0.949609451213202,"GSR"
"1NDA",0.949609451213202,"GSR"
"3LAD",0.93430818018846,"GSR"
"1AOG",0.914041516994475,"GSR"
"1FEC",0.914041516994475,"GSR"
"1GER",0.914041516994475,"GSR"
"1LPF",0.914041516994475,"GSR"
"1MO9",0.914041516994475,"GSR"
"1Q1R",0.914041516994475,"GSR"
"1XDI",0.914041516994475,"GSR"
"7MGN",0.905138584415581,"GSR"
"7MGO",0.905138584415581,"GSR"
