"identifier","score","Gene"
"4GXG",1,"GLTP"
"4GJQ",0.982250840745056,"GLTP"
"3RWV",0.981518200484659,"GLTP"
"2EVS",0.980831856224306,"GLTP"
"4NT1",0.976514354280843,"GLTP"
"3KV0",0.972187738569833,"GLTP"
"4GHS",0.972091753145656,"GLTP"
"4KBR",0.968347691395421,"GLTP"
"4GH0",0.966836308784528,"GLTP"
"4GHP",0.966836308784528,"GLTP"
"4GIX",0.966836308784528,"GLTP"
"4GVT",0.966836308784528,"GLTP"
"4GXD",0.966836308784528,"GLTP"
"2I3F",0.966132851971279,"GLTP"
"4H2Z",0.964196176367303,"GLTP"
"2Q52",0.964044635743072,"GLTP"
"4NTO",0.963784941845437,"GLTP"
"4K8N",0.958279547561553,"GLTP"
"4KF6",0.958279547561553,"GLTP"
"1SWX",0.955628265322328,"GLTP"
"1TFJ",0.955526171734794,"GLTP"
"3RIC",0.95354707832973,"GLTP"
"3RZN",0.95354707832973,"GLTP"
"3S0I",0.95354707832973,"GLTP"
"3S0K",0.95354707832973,"GLTP"
