"identifier","score","Gene"
"6LG3",1,"NLRP3"
"4B5P",0.996847707460039,"NLRP3"
"3VWD",0.952309605103914,"NLRP3"
"3VWE",0.952309605103914,"NLRP3"
"4B5O",0.952309605103914,"NLRP3"
"4GS4",0.952309605103914,"NLRP3"
"4IF5",0.952309605103914,"NLRP3"
"4U9Y",0.952309605103914,"NLRP3"
"4U9Z",0.952309605103914,"NLRP3"
"4PK2",0.928290082714179,"NLRP3"
"4PK3",0.928290082714179,"NLRP3"
"6YI3",0.905971313862373,"NLRP3"
"7LTU",0.905971313862373,"NLRP3"
"7LUX",0.905971313862373,"NLRP3"
"7LUZ",0.905971313862373,"NLRP3"
"7LV2",0.905971313862373,"NLRP3"
