"identifier","score","Gene"
"2ZJN",1,"BACE1"
"3UQW",1,"BACE1"
"4XXS",0.991975391292038,"BACE1"
"3UQU",0.979884192058719,"BACE1"
"3UQX",0.979884192058719,"BACE1"
"4DJU",0.979884192058719,"BACE1"
"4DJV",0.979884192058719,"BACE1"
"4DJW",0.979884192058719,"BACE1"
"4DJX",0.979884192058719,"BACE1"
"4DJY",0.979884192058719,"BACE1"
"4TRW",0.979884192058719,"BACE1"
"4TRZ",0.979884192058719,"BACE1"
"2QU2",0.964764783582327,"BACE1"
"2QU3",0.964764783582327,"BACE1"
"2ZHR",0.964764783582327,"BACE1"
"2ZHS",0.964764783582327,"BACE1"
"2ZHT",0.964764783582327,"BACE1"
"2ZHU",0.964764783582327,"BACE1"
"2ZHV",0.964764783582327,"BACE1"
"2ZJH",0.964764783582327,"BACE1"
"2ZJI",0.964764783582327,"BACE1"
"2ZJJ",0.964764783582327,"BACE1"
"2ZJL",0.964764783582327,"BACE1"
"3IN3",0.964764783582327,"BACE1"
"3IND",0.964764783582327,"BACE1"
