"identifier","score","Gene"
"2LBY",1,"MYC"
"2LED",1,"MYC"
"2LEE",1,"MYC"
"1XAV",0.993871098398071,"MYC"
"5HXC",0.9882776095774,"MYC"
"2ORB",0.98624004149724,"MYC"
"2YY0",0.98624004149724,"MYC"
"2L7V",0.984817273266185,"MYC"
"6NEB",0.984817273266185,"MYC"
"2IOD",0.981238056320625,"MYC"
"3C1T",0.981238056320625,"MYC"
"5XI1",0.979614820745701,"MYC"
"5W77",0.974903288254343,"MYC"
"2A5R",0.955794401092062,"MYC"
"6AU4",0.955794401092062,"MYC"
"4YWC",0.947867692352916,"MYC"
"7KBV",0.947182853913098,"MYC"
"1JZU",0.945811227351064,"MYC"
"4RQW",0.945354901686515,"MYC"
"4RRU",0.945354901686515,"MYC"
"2N6C",0.939187406371502,"MYC"
"4RS9",0.933653207892434,"MYC"
"2A5P",0.925558226564893,"MYC"
"6JJ0",0.925558226564893,"MYC"
"7KBW",0.925558226564893,"MYC"
