"identifier","score","Gene"
"4Y98",1,"SYK"
"4YA6",1,"SYK"
"4YAE",0.990606866532427,"SYK"
"6XM6",0.990606866532427,"SYK"
"2FCI",0.974074273907926,"SYK"
"4YAP",0.972340081935538,"SYK"
"4YAV",0.972340081935538,"SYK"
"6XMA",0.972340081935538,"SYK"
"5X1I",0.963457115260621,"SYK"
"6JVV",0.954734826117214,"SYK"
"6XM8",0.954734826117214,"SYK"
"5X1L",0.946169150676699,"SYK"
"6XM7",0.946169150676699,"SYK"
"5X1N",0.937755775028698,"SYK"
"6XM9",0.937755775028698,"SYK"
"5X1M",0.921370105438847,"SYK"
"6JVW",0.921370105438847,"SYK"
"3WKU",0.913758491916951,"SYK"
"3WPM",0.913758491916951,"SYK"
"3WR3",0.913758491916951,"SYK"
"3WR4",0.913758491916951,"SYK"
"4YAM",0.901348309562958,"SYK"
