"identifier","score","Gene"
"8WMM",1,"CFB"
"7AEF",0.999338147385038,"CFB"
"8IYQ",0.999305546472429,"CFB"
"8WMH",0.999305546472429,"CFB"
"8WR4",0.996595835324382,"CFB"
"7AEB",0.993516893025834,"CFB"
"8WMN",0.990849912184058,"CFB"
"8AA0",0.990459783012653,"CFB"
"8OZD",0.986675618559292,"CFB"
"8SP3",0.986675618559292,"CFB"
"8SQU",0.986675618559292,"CFB"
"8GLM",0.982536236922387,"CFB"
"8GLN",0.982536236922387,"CFB"
"8GL8",0.980909043257133,"CFB"
"8AA2",0.979273883758029,"CFB"
"7ADZ",0.978431472242462,"CFB"
"8GL6",0.978431472242462,"CFB"
"8GLK",0.978431472242462,"CFB"
"8J7S",0.978431472242462,"CFB"
"8JR8",0.978431472242462,"CFB"
"8OZ6",0.978431472242462,"CFB"
"8OZE",0.978431472242462,"CFB"
"8SPO",0.978431472242462,"CFB"
"8GLJ",0.970324023568247,"CFB"
"8J8H",0.970324023568247,"CFB"
