"identifier","score","Gene"
"3MX7",1,"FAS"
"2KW1",0.988506609264653,"FAS"
"6NCV",0.983776164358137,"FAS"
"2KD2",0.977399678142978,"FAS"
"4N1K",0.942549086572733,"FAS"
"4V8W",0.940712835180332,"FAS"
"2OF5",0.934386807563698,"FAS"
"5HSA",0.931179147312028,"FAS"
"4V8V",0.930814247871728,"FAS"
"6GJC",0.930814247871728,"FAS"
"1IQW",0.924424578779477,"FAS"
"2MS7",0.9222382343309,"FAS"
"4V58",0.921121781015787,"FAS"
"4V8L",0.921121781015787,"FAS"
"4N1J",0.92048146984274,"FAS"
"1DDF",0.916439326977108,"FAS"
"3EZQ",0.91375411128803,"FAS"
"4V59",0.911629200345508,"FAS"
"2BBZ",0.909830679256509,"FAS"
"1WMG",0.909504159522424,"FAS"
"2EC4",0.909504159522424,"FAS"
