"identifier","score","Gene"
"2CP8",1,"BRCA1"
"4OLE",0.99420529738129,"BRCA1"
"3FA2",0.985138725654001,"BRCA1"
"2NTE",0.936975590933428,"BRCA1"
"6GVW",0.925031689834165,"BRCA1"
"1T2V",0.921204480888766,"BRCA1"
"3PXA",0.921204480888766,"BRCA1"
"3PXB",0.921204480888766,"BRCA1"
"3PXC",0.921204480888766,"BRCA1"
"3PXD",0.921204480888766,"BRCA1"
"2R1Z",0.92102792695914,"BRCA1"
"2MGW",0.915086651266778,"BRCA1"
"3PXE",0.913128249010441,"BRCA1"
"1L0B",0.913026369620232,"BRCA1"
"1JM7",0.907065245490813,"BRCA1"
"3C5R",0.90286671115215,"BRCA1"
"6M14",0.90286671115215,"BRCA1"
