"identifier","score","Gene"
"2QNV",1,"NR1I2"
"3R8D",1,"NR1I2"
"6DUP",1,"NR1I2"
"7N2A",1,"NR1I2"
"7RIO",1,"NR1I2"
"7RIU",1,"NR1I2"
"8CCT",1,"NR1I2"
"8CH8",1,"NR1I2"
"8E3N",1,"NR1I2"
"8EQZ",1,"NR1I2"
"8FPE",1,"NR1I2"
"8SZV",1,"NR1I2"
"1M13",0.947328953536576,"NR1I2"
"4XAO",0.947328953536576,"NR1I2"
"6HJ2",0.947328953536576,"NR1I2"
"6P2B",0.947328953536576,"NR1I2"
"6S41",0.947328953536576,"NR1I2"
"7AX8",0.947328953536576,"NR1I2"
"7AXD",0.947328953536576,"NR1I2"
"7AXF",0.947328953536576,"NR1I2"
"7AXG",0.947328953536576,"NR1I2"
"7AXH",0.947328953536576,"NR1I2"
"7RIV",0.947328953536576,"NR1I2"
"8CF9",0.947328953536576,"NR1I2"
