"identifier","score","Gene"
"7U40",1,"CP"
"7U3W",0.999305268635989,"CP"
"7U45",0.999176096540519,"CP"
"7U3O",0.998710517406523,"CP"
"7U3U",0.998548049687888,"CP"
"7U3Y",0.998514520902097,"CP"
"7U43",0.997998905068303,"CP"
"3NAO",0.99779847847396,"CP"
"7U3T",0.997461511845128,"CP"
"5AKN",0.996040245734756,"CP"
"4E6B",0.99598027630704,"CP"
"7U3X",0.995860057656454,"CP"
"2BCY",0.995558251951804,"CP"
"2NPZ",0.995558251951804,"CP"
"3UBI",0.995558251951804,"CP"
"2KBD",0.99534700661156,"CP"
"2PN3",0.995335022052521,"CP"
"2PN4",0.995335022052521,"CP"
"3LOA",0.995305037338663,"CP"
"8DAP",0.995262974800716,"CP"
"7U3V",0.995048931508945,"CP"
"2FGP",0.995027200752089,"CP"
"2NPY",0.995027200752089,"CP"
"3IGT",0.995006402645743,"CP"
"1EL2",0.994990267791941,"CP"
