"identifier","score","Gene"
"6LR3",1,"MIF"
"4X19",0.998477024321279,"MIF"
"5TIG",0.998477024321279,"MIF"
"4NWR",0.997892796911219,"MIF"
"4OTA",0.99676303797105,"MIF"
"5CLO",0.99676303797105,"MIF"
"3MJZ",0.99564740245294,"MIF"
"4LHP",0.995250798389585,"MIF"
"1HFO",0.995134136626885,"MIF"
"6FPS",0.995075346447256,"MIF"
"4GUM",0.994400694688646,"MIF"
"4OTB",0.992748483956855,"MIF"
"5CLN",0.992748483956855,"MIF"
"3EJ3",0.99198059464774,"MIF"
"3EJ7",0.99198059464774,"MIF"
"1S0Y",0.991711043970634,"MIF"
"6BGN",0.991630551947353,"MIF"
"3GAD",0.990971631154776,"MIF"
"3GAC",0.990687784818757,"MIF"
"4X1C",0.990052116001521,"MIF"
"1OTF",0.988338359300431,"MIF"
"2AAL",0.988338359300431,"MIF"
"3ABF",0.988338359300431,"MIF"
"1UIZ",0.988233122582405,"MIF"
"4OTC",0.988008755373431,"MIF"
