"identifier","score","Gene"
"7PL9",1,"RET"
"8JXO",0.992060498078335,"RET"
"8JXP",0.992060498078335,"RET"
"8ZAO",0.987947104169253,"RET"
"8ZAP",0.987947104169253,"RET"
"8ZAQ",0.987947104169253,"RET"
"8CQD",0.987438809049923,"RET"
"8IFU",0.979821818815882,"RET"
"2L88",0.976553843893775,"RET"
"8CQC",0.975437186315145,"RET"
"6JWD",0.959596278512587,"RET"
"6JWE",0.959596278512587,"RET"
"8ZAN",0.959596278512587,"RET"
"8KF9",0.953115907138813,"RET"
"8KFL",0.953115907138813,"RET"
"7SFJ",0.95041004451692,"RET"
"7SFK",0.95041004451692,"RET"
"6LM0",0.941121068630474,"RET"
"4QRY",0.940775138315047,"RET"
"7B03",0.940775138315047,"RET"
"7AMK",0.940199066164277,"RET"
"2FBE",0.936459848436467,"RET"
"6CSM",0.934596534551902,"RET"
"7W74",0.932555395655107,"RET"
"8WEW",0.932555395655107,"RET"
