"identifier","score","Gene"
"7CKK",1,"FTO"
"7E8Z",1,"FTO"
"7WCV",1,"FTO"
"8IT9",0.992708903759833,"FTO"
"5ZMD",0.988204715412516,"FTO"
"3LFM",0.979320646771533,"FTO"
"5DAB",0.979320646771533,"FTO"
"5F8P",0.979320646771533,"FTO"
"6AEJ",0.979320646771533,"FTO"
"6AK4",0.979320646771533,"FTO"
"4IDZ",0.974020043311144,"FTO"
"4IE0",0.974020043311144,"FTO"
"4IE4",0.974020043311144,"FTO"
"4IE5",0.974020043311144,"FTO"
"4IE6",0.974020043311144,"FTO"
"4IE7",0.974020043311144,"FTO"
"4QHO",0.974020043311144,"FTO"
"4ZS3",0.974020043311144,"FTO"
"4CXW",0.968197421851915,"FTO"
"4CXX",0.968197421851915,"FTO"
"4CXY",0.968197421851915,"FTO"
"6AKW",0.968197421851915,"FTO"
"4QKN",0.964037011858078,"FTO"
"4ZS2",0.964037011858078,"FTO"
