"identifier","score","Gene"
"7U3M",1,"HDAC10"
"7U69",1,"HDAC10"
"7U6A",1,"HDAC10"
"7U6B",1,"HDAC10"
"6WDV",0.990330437000808,"HDAC10"
"6WDW",0.990330437000808,"HDAC10"
"6WDX",0.990330437000808,"HDAC10"
"9CBF",0.990330437000808,"HDAC10"
"9CBG",0.990330437000808,"HDAC10"
"9CBH",0.990330437000808,"HDAC10"
"9CBI",0.990330437000808,"HDAC10"
"9CBJ",0.990330437000808,"HDAC10"
"7U59",0.988561511567129,"HDAC10"
"6WBQ",0.977528848005482,"HDAC10"
"6WDY",0.977528848005482,"HDAC10"
"7SGI",0.977528848005482,"HDAC10"
"7SGK",0.977528848005482,"HDAC10"
"7SGG",0.965053784169735,"HDAC10"
"7SGJ",0.965053784169735,"HDAC10"
"7KUQ",0.963195972199876,"HDAC10"
"7KUR",0.949092450750815,"HDAC10"
"7KUS",0.949092450750815,"HDAC10"
"7KUT",0.949092450750815,"HDAC10"
"7KUV",0.949092450750815,"HDAC10"
"6VNQ",0.911952154659655,"HDAC10"
