"identifier","score","Gene"
"5N5G",1,"VIM"
"5N5H",1,"VIM"
"7DUY",1,"VIM"
"7YHD",1,"VIM"
"4NQ2",0.999851903103041,"VIM"
"8HYD",0.997410538167025,"VIM"
"7DZ0",0.997384945258202,"VIM"
"7DZ1",0.997384945258202,"VIM"
"7YHB",0.997384945258202,"VIM"
"8I52",0.994884065777747,"VIM"
"5N5I",0.994783459170651,"VIM"
"7A5Z",0.994783459170651,"VIM"
"7DYY",0.994783459170651,"VIM"
"5NI0",0.994672372708649,"VIM"
"6TM9",0.994672372708649,"VIM"
"6TMC",0.994672372708649,"VIM"
"8HX5",0.994672372708649,"VIM"
"8HXP",0.994672372708649,"VIM"
"8HXV",0.994672372708649,"VIM"
"8HY1",0.994672372708649,"VIM"
"8PJM",0.994548986206415,"VIM"
"7DUX",0.992195541737346,"VIM"
"7DV0",0.992195541737346,"VIM"
"7DYZ",0.992195541737346,"VIM"
"7YHC",0.992195541737346,"VIM"
