"identifier","score","Gene"
"4L11",1,"ERG"
"8JZN",0.999428624477672,"ERG"
"7VPU",0.98461348448752,"ERG"
"8FHH",0.976793222901829,"ERG"
"8TF2",0.973474999864588,"ERG"
"8FFN",0.964252437132002,"ERG"
"8TF3",0.964252437132002,"ERG"
"8TF4",0.964252437132002,"ERG"
"8FFO",0.955202949789116,"ERG"
"8FFQ",0.955202949789116,"ERG"
"8FHI",0.955202949789116,"ERG"
"4IRH",0.931368963350216,"ERG"
"8QED",0.921418104668287,"ERG"
"7VPR",0.920974520254292,"ERG"
"4IRG",0.920836022153146,"ERG"
"4IRI",0.920836022153146,"ERG"
