"identifier","score","Gene"
"7RYW",1,"FTL"
"7RZN",1,"FTL"
"7RZX",1,"FTL"
"2Z5R",0.974321528840548,"FTL"
"5E1U",0.974321528840548,"FTL"
"6JEF",0.974321528840548,"FTL"
"7VIR",0.974321528840548,"FTL"
"8H8L",0.974321528840548,"FTL"
"8H8M",0.974321528840548,"FTL"
"8H8N",0.974321528840548,"FTL"
"8H8O",0.974321528840548,"FTL"
"8J0Y",0.974321528840548,"FTL"
"2ZG7",0.949928744017725,"FTL"
"2ZG8",0.949928744017725,"FTL"
"2ZG9",0.949928744017725,"FTL"
"2ZUR",0.949928744017725,"FTL"
"3AF7",0.949928744017725,"FTL"
"3AF8",0.949928744017725,"FTL"
"3AF9",0.949928744017725,"FTL"
"3FI6",0.949928744017725,"FTL"
"3NOZ",0.949928744017725,"FTL"
"3NP0",0.949928744017725,"FTL"
"3O7R",0.949928744017725,"FTL"
"3O7S",0.949928744017725,"FTL"
"3WVU",0.949928744017725,"FTL"
