"identifier","score","Gene"
"6UNE",1,"CYP3A4"
"6UNG",1,"CYP3A4"
"6UNH",1,"CYP3A4"
"6UNI",1,"CYP3A4"
"6UNJ",1,"CYP3A4"
"6UNK",1,"CYP3A4"
"6UNL",1,"CYP3A4"
"6UNM",1,"CYP3A4"
"7KSA",1,"CYP3A4"
"7KVH",1,"CYP3A4"
"7KVI",1,"CYP3A4"
"7KVJ",1,"CYP3A4"
"7KVM",1,"CYP3A4"
"7KVN",1,"CYP3A4"
"7KVO",1,"CYP3A4"
"7KVP",1,"CYP3A4"
"7LXL",1,"CYP3A4"
"7UF9",1,"CYP3A4"
"7UFA",1,"CYP3A4"
"7UFB",1,"CYP3A4"
"7UFC",1,"CYP3A4"
"7UFD",1,"CYP3A4"
"7UFF",1,"CYP3A4"
"6MA6",0.973056676686365,"CYP3A4"
"6MA7",0.973056676686365,"CYP3A4"
