"identifier","score","Gene"
"2A8V",1,"RHO"
"1PVO",0.998967988005404,"RHO"
"1PV4",0.998136836796024,"RHO"
"1A8V",0.997461759231602,"RHO"
"1XPU",0.995297986195749,"RHO"
"1XPO",0.993636228853747,"RHO"
"1XPR",0.993636228853747,"RHO"
"1A62",0.991196919516873,"RHO"
"1A63",0.991196919516873,"RHO"
"8Q3N",0.991014318803041,"RHO"
"8Q3O",0.991014318803041,"RHO"
"8Q3P",0.990398200374577,"RHO"
"8Q3Q",0.990398200374577,"RHO"
"8PTG",0.985401481736658,"RHO"
"1AJW",0.982913478876095,"RHO"
"2EE4",0.982455160168988,"RHO"
"2EE5",0.982455160168988,"RHO"
"3L0O",0.98059254204177,"RHO"
"8PEU",0.979436070854164,"RHO"
"8PEX",0.979436070854164,"RHO"
"1GDF",0.97913664202193,"RHO"
"8PEW",0.978223093376009,"RHO"
"8PEY",0.977506589978001,"RHO"
"7X2R",0.973445041364058,"RHO"
"5U4V",0.972247326035119,"RHO"
