"identifier","score","Gene"
"2KLS",1,"CA2"
"2KLT",1,"CA2"
"3U6G",0.985887514269838,"CA2"
"2LG7",0.980911217102582,"CA2"
"1CDN",0.972167873218517,"CA2"
"3E9T",0.945694015148827,"CA2"
"2BT4",0.945247238161819,"CA2"
"2LRG",0.935643239408572,"CA2"
"2LGE",0.930192703034107,"CA2"
"3EAD",0.923809086137476,"CA2"
"1D1O",0.920145102116996,"CA2"
"6O6J",0.920145102116996,"CA2"
"4MN0",0.914215723041763,"CA2"
"2F8P",0.911738884765587,"CA2"
"6O7C",0.911738884765587,"CA2"
"1TN4",0.903865799590718,"CA2"
"2ENB",0.903865799590718,"CA2"
"2TN4",0.903865799590718,"CA2"
