"identifier","score","Gene"
"1GYO",1,"C3"
"2Z47",0.996962894248,"C3"
"1MDV",0.996128893630294,"C3"
"2CTH",0.994937409473516,"C3"
"1QN0",0.993353048992695,"C3"
"1QN1",0.993353048992695,"C3"
"1H29",0.993172857595954,"C3"
"2CDV",0.993019033003471,"C3"
"1A2I",0.992718714008902,"C3"
"2BQ4",0.992718714008902,"C3"
"2KMY",0.990886275815809,"C3"
"2CY3",0.990659586942677,"C3"
"1W7O",0.98768703062849,"C3"
"1WAD",0.98768703062849,"C3"
"3CAO",0.984582093263872,"C3"
"2BPN",0.984428487483044,"C3"
"2KSU",0.984055741831132,"C3"
"1UP9",0.981571244910304,"C3"
"1UPD",0.980845884278612,"C3"
"2CYM",0.979898976847648,"C3"
"1G24",0.977460758591557,"C3"
"3CAR",0.977460758591557,"C3"
"1CZJ",0.976783317712005,"C3"
"2FFN",0.976783317712005,"C3"
"1IT1",0.976002652434865,"C3"
