"identifier","score","Gene"
"3WME",1,"ABCB1"
"3WMF",1,"ABCB1"
"6A6M",0.98939906020481,"ABCB1"
"3WMG",0.968857277692437,"ABCB1"
"6A6N",0.968857277692437,"ABCB1"
"6FN1",0.967667041265899,"ABCB1"
"6FN4",0.967667041265899,"ABCB1"
"7A65",0.950299063660816,"ABCB1"
"8Y6H",0.950299063660816,"ABCB1"
"7A69",0.93340324793027,"ABCB1"
"7A6C",0.93340324793027,"ABCB1"
"7A6E",0.93340324793027,"ABCB1"
"7A6F",0.93340324793027,"ABCB1"
"8Y6I",0.93340324793027,"ABCB1"
"6C0V",0.924231783573009,"ABCB1"
"7OTI",0.901351953656156,"ABCB1"
