"identifier","score","Gene"
"6DVW",1,"TRPV3"
"6UW8",1,"TRPV3"
"6UW9",1,"TRPV3"
"8GKG",0.99689063807339,"TRPV3"
"6DVY",0.990434284541568,"TRPV3"
"6DVZ",0.990434284541568,"TRPV3"
"6UW4",0.990434284541568,"TRPV3"
"6UW6",0.990434284541568,"TRPV3"
"8GKA",0.986338942867895,"TRPV3"
"6LGP",0.98104989927742,"TRPV3"
"6MHO",0.976008369618903,"TRPV3"
"6MHS",0.976008369618903,"TRPV3"
"6MHV",0.976008369618903,"TRPV3"
"6MHW",0.976008369618903,"TRPV3"
"6MHX",0.976008369618903,"TRPV3"
"6PVL",0.976008369618903,"TRPV3"
"6PVM",0.976008369618903,"TRPV3"
"6PVN",0.976008369618903,"TRPV3"
"6PVO",0.976008369618903,"TRPV3"
"6PVP",0.976008369618903,"TRPV3"
"6PVQ",0.976008369618903,"TRPV3"
"7RAU",0.976008369618903,"TRPV3"
"7UGG",0.971841647332082,"TRPV3"
"7RAS",0.965891836309835,"TRPV3"
"7MIJ",0.947590529825531,"TRPV3"
