"identifier","score","Gene"
"5TU5",1,"TYR"
"1J7G",0.993388345706614,"TYR"
"1UNO",0.990140646672724,"TYR"
"2DBO",0.985261856441393,"TYR"
"7LIB",0.979704061329091,"TYR"
"1BXP",0.979191459364478,"TYR"
"1JKE",0.977785561070221,"TYR"
"3KNF",0.976475284105531,"TYR"
"3KO4",0.976475284105531,"TYR"
"3KO5",0.976475284105531,"TYR"
"3LMU",0.976475284105531,"TYR"
"3KNP",0.970756069598935,"TYR"
"3KO3",0.970074495089401,"TYR"
"3LMV",0.969491033670466,"TYR"
"3KO7",0.962712119917868,"TYR"
"3KO9",0.962712119917868,"TYR"
"3KOB",0.962712119917868,"TYR"
"3KOC",0.962712119917868,"TYR"
"3LMT",0.962712119917868,"TYR"
"4NBJ",0.962606064338983,"TYR"
"5J61",0.962606064338983,"TYR"
"1TC5",0.94725743932776,"TYR"
"3KOD",0.947017763063583,"TYR"
"2OKV",0.944082935774159,"TYR"
"4NBI",0.939714645084071,"TYR"
