"identifier","score","Gene"
"2QLF",1,"LAP3"
"3IBC",1,"LAP3"
"3IBF",1,"LAP3"
"5IC6",1,"LAP3"
"6X8J",1,"LAP3"
"6X8L",1,"LAP3"
"2QL5",0.962290013997218,"LAP3"
"2QL7",0.962290013997218,"LAP3"
"2QL9",0.962290013997218,"LAP3"
"2QLB",0.962290013997218,"LAP3"
"2QLJ",0.962290013997218,"LAP3"
"3EDR",0.962290013997218,"LAP3"
"4LSZ",0.962290013997218,"LAP3"
"4ZVO",0.962290013997218,"LAP3"
"4ZVP",0.962290013997218,"LAP3"
"4ZVQ",0.962290013997218,"LAP3"
"4ZVR",0.962290013997218,"LAP3"
"4ZVS",0.962290013997218,"LAP3"
"4ZVT",0.962290013997218,"LAP3"
"4ZVU",0.962290013997218,"LAP3"
"5K20",0.962290013997218,"LAP3"
"1SHJ",0.912287632595191,"LAP3"
"1SHL",0.912287632595191,"LAP3"
"4FDL",0.912287632595191,"LAP3"
"4FEA",0.912287632595191,"LAP3"
