"identifier","score","Gene"
"1MJQ",1,"MET"
"1CMB",0.972216763527594,"MET"
"1MJO",0.970619479653261,"MET"
"1CMC",0.967222496713885,"MET"
"1MJ2",0.967107765049253,"MET"
"7ETQ",0.966125794480685,"MET"
"1CMA",0.961098492420831,"MET"
"1MJP",0.957962946512964,"MET"
"1MJM",0.951247449959245,"MET"
"4GQH",0.940146418325407,"MET"
"2ZPA",0.936609778670645,"MET"
"1MJK",0.934220031044639,"MET"
"3LAY",0.934220031044639,"MET"
"1VE8",0.930346414894497,"MET"
"4U5H",0.926449954319643,"MET"
"3ZC4",0.923203116149378,"MET"
"1MJL",0.916176842003713,"MET"
"4FO8",0.916176842003713,"MET"
"6JF6",0.913783102972646,"MET"
"5INX",0.913328082795668,"MET"
"3VK3",0.910507093576029,"MET"
"250D",0.907853233827888,"MET"
"3AOU",0.907414009424132,"MET"
"3G6N",0.906507196163631,"MET"
"1Q0D",0.905835621031206,"MET"
