"identifier","score","Gene"
"2W5H",1,"NEK2"
"2XK4",1,"NEK2"
"2XKD",1,"NEK2"
"2XKE",1,"NEK2"
"2XKF",1,"NEK2"
"5M51",1,"NEK2"
"5M57",1,"NEK2"
"2JAV",0.978345524292132,"NEK2"
"2W5A",0.978345524292132,"NEK2"
"2W5B",0.978345524292132,"NEK2"
"2XK3",0.978345524292132,"NEK2"
"2XK6",0.978345524292132,"NEK2"
"2XK7",0.978345524292132,"NEK2"
"2XK8",0.978345524292132,"NEK2"
"2XKC",0.978345524292132,"NEK2"
"2XNN",0.978345524292132,"NEK2"
"2XNP",0.978345524292132,"NEK2"
"4A4X",0.978345524292132,"NEK2"
"4AFE",0.978345524292132,"NEK2"
"5M53",0.978345524292132,"NEK2"
"5M55",0.978345524292132,"NEK2"
"6SGD",0.978345524292132,"NEK2"
"6SGH",0.978345524292132,"NEK2"
"6SGI",0.978345524292132,"NEK2"
"6SGK",0.978345524292132,"NEK2"
